query_table,query_value,candidate_table,candidate_value
election_left,"north carolina lieutenant gubernatorial election, 2004",election_right,"north carolina lieutenant governor election, 2004"
soccerleague_left,v.league (vietnam),soccerleague_right,v-league (vietnam)
museum_left,roman museum,museum_right,canterbury roman museum
motorsportseason_left,2007 world series by renault season,motorsportseason_right,2007 world series by renault
noble_left,louis victor de rochechouart de mortemart,noble_right,"louis victor de rochechouart de mortemart, duke of mortemart"
governmentagency_left,ministry of information (burma),governmentagency_right,ministry of information (myanmar)
ethnicgroup_left,angolan american,ethnicgroup_right,angolan americans
monarch_left,yazid iii shirvanshah,monarch_right,yazid ii of shirvan
televisionstation_left,k43gz-d,televisionstation_right,k43gz
basketballteam_left,asseco prokom gdynia,basketballteam_right,asseco gdynia
venue_left,stade victor boucquey,venue_right,stade henri-jooris
sportsleague_left,v.league (vietnam),sportsleague_right,v-league (vietnam)
magazine_left,orange coast (magazine),magazine_right,orange coast magazine
election_left,"lambeth council election, 2006",election_right,"lambeth london borough council election, 2006"
televisionstation_left,oprah winfrey network (u.s. tv channel),televisionstation_right,oprah winfrey network
soccerleague_left,f. league,soccerleague_right,f.league
soccerclubseason_left,1999 australia national football team season,soccerclubseason_right,1999 australia national soccer team season
railwayline_left,fr8 (lazio regional railways),railwayline_right,fl8 (lazio regional railways)
footballleagueseason_left,2013 j. league division 2,footballleagueseason_right,2013 j.league division 2
shoppingmall_left,"regency square mall (florence, alabama)",shoppingmall_right,florence mall (alabama)
election_left,"bolivian presidential election, 2005",election_right,"bolivian general election, 2005"
footballleagueseason_left,2010 j. league division 1,footballleagueseason_right,2010 j.league division 1
givenname_left,banu (name),givenname_right,banu
governmentagency_left,electricity commission (nz),governmentagency_right,electricity commission (new zealand)
historicbuilding_left,st columb minor church,historicbuilding_right,"st columba's church, st columb minor"
historicbuilding_left,st. andrew's evangelical lutheran church (toronto),historicbuilding_right,grace toronto church
soccertournament_left,2010 south american under 17 women championship,soccertournament_right,2010 south american under-17 women's football championship
shoppingmall_left,omni park shopping centre,shoppingmall_right,omni park
basketballteam_left,shandong lions,basketballteam_right,shandong golden stars
award_left,1998 brit awards,award_right,1998 brit awards
legislature_left,senate (thailand),legislature_right,senate of thailand
soccertournament_left,1947 nafc championship,soccertournament_right,nafc championship 1947
award_left,buck scholarship,award_right,buck scholarship
christianbishop_left,ray r. sutton,christianbishop_right,ray sutton
amphibian_left,large-spined bell toad,amphibian_right,large-spined bell toad
legislature_left,national legislative assembly (south sudan),legislature_right,national legislative assembly of south sudan
amphibian_left,piping peeping frog,amphibian_right,piping peeping frog
unitofwork_left,manual enterprises v. day,unitofwork_right,"manual enterprises, inc. v. day"
magazine_left,computing (urdu magazine),magazine_right,computing (urdu magazine)
legislature_left,house of assembly (zimbabwe),legislature_right,house of assembly of zimbabwe
politicalparty_left,shan national league for democracy,politicalparty_right,shan nationalities league for democracy
sportsleague_left,american association (american football),sportsleague_right,american association (football)
ethnicgroup_left,russians in chile,ethnicgroup_right,russian chileans
tennistournament_left,2012 aegon pro-series loughborough,tennistournament_right,2012 aegon pro-series loughborough
device_left,ipad (1st generation),device_right,ipad (first generation)
ethnicgroup_left,wuikinuxv people,ethnicgroup_right,wuikinuxv
case_left,carter v. carter coal company,case_right,carter v. carter coal co.
country_left,zhao (five dynasties),country_right,zhao (five dynasties period)
governmentagency_left,ministry of finance and planning (sri lanka),governmentagency_right,ministry of finance (sri lanka)
device_left,kh-58,device_right,as-11 kilter
historicbuilding_left,"st gabriels, cricklewood",historicbuilding_right,"st gabriel's, cricklewood"
tennistournament_left,1996 bell challenge,tennistournament_right,1996 challenge bell
basketballteam_left,bc rakvere tarvas,basketballteam_right,rakvere tarvas
clericaladministrativeregion_left,syro-malabar catholic diocese of thamarassery,clericaladministrativeregion_right,syro-malabar catholic eparchy of thamarassery
motorsportseason_left,2010 world series by renault season,motorsportseason_right,2010 world series by renault
ethnicgroup_left,fijian australian,ethnicgroup_right,fijian australians
reptile_left,allan's lerista,reptile_right,allan's lerista
motorsportseason_left,2013 nascar toyota series season,motorsportseason_right,2013 nascar toyota series
race_left,ft. lauderdale stakes,race_right,fort lauderdale stakes
clericaladministrativeregion_left,melkite greek catholic eparchy of akka,clericaladministrativeregion_right,melkite greek catholic archeparchy of akka
naturalevent_left,1611 keicho sanriku earthquake,naturalevent_right,1611 sanriku earthquake
clericaladministrativeregion_left,apostolic vicariate of el beni,clericaladministrativeregion_right,roman catholic apostolic vicariate of el beni
memberofparliament_left,ian bruce (politician),memberofparliament_right,ian bruce
legislature_left,national assembly (bahrain),legislature_right,national assembly of bahrain
ethnicgroup_left,samoan american,ethnicgroup_right,samoan americans
tennistournament_left,2008 bell challenge,tennistournament_right,2008 challenge bell
motorsportseason_left,2012 european touring car cup season,motorsportseason_right,2012 european touring car cup
wrestler_left,julio dinero,wrestler_right,brian wohl
governmentagency_left,"ministry of internally displaced persons from the occupied territories, accommodation and refugees (georgia)",governmentagency_right,"ministry of internally displaced persons from the occupied territories, accommodation and refugees of georgia"
stadium_left,otunba dipo dina international stadium,stadium_right,gateway stadium (ijebu ode)
wrestler_left,ed whalen,wrestler_right,ed whalen (broadcaster)
hospital_left,"saint mary's regional medical center (reno, nevada)",hospital_right,saint mary's regional medical center (reno)
artwork_left,the flight into egypt (annibale carracci),artwork_right,landscape with the flight into egypt (annibale carracci)
motorsportseason_left,1998 euro open by nissan season,motorsportseason_right,1998 euro open by nissan
shoppingmall_left,"shaktan thampuran private bus stand, thrissur",shoppingmall_right,shaktan thampuran private bus stand
soccerleague_left,west yorkshire association football league,soccerleague_right,west yorkshire league
country_left,bishopric of strasbourg,country_right,prince-bishopric of strasbourg
clericaladministrativeregion_left,syro-malabar catholic diocese of kothamangalam,clericaladministrativeregion_right,syro-malabar catholic eparchy of kothamangalam
basketballteam_left,dongguan leopards,basketballteam_right,shenzhen leopards
motorsportseason_left,1984 all japan endurance championship season,motorsportseason_right,1984 all japan endurance championship
magazine_left,open (indian magazine),magazine_right,open (magazine)
reptile_left,malagasy giant chameleon,reptile_right,malagasy giant chameleon
sportfacility_left,coliseum at richfield,sportfacility_right,richfield coliseum
givenname_left,sujata,givenname_right,sujata (name)
legislature_left,national council (monaco),legislature_right,national council of monaco
governmentagency_left,puerto rico education council,governmentagency_right,council on higher education of puerto rico
museum_left,brunswick railroad museum,museum_right,brunswick heritage museum
artificialsatellite_left,uosat-2,artificialsatellite_right,uo-11
legislature_left,assembly of the republic (portugal),legislature_right,assembly of the republic of portugal
motorsportseason_left,2008 eurocup formula renault 2.0 season,motorsportseason_right,2008 eurocup formula renault 2.0
shoppingmall_left,atlantic terminal (shopping mall),shoppingmall_right,atlantic terminal (shopping mall)
election_left,"indian general election in andhra pradesh, 2004",election_right,"indian general election, 2004 (andhra pradesh)"
legislature_left,national assembly (angola),legislature_right,national assembly of angola
device_left,defensive grenade wz.33,device_right,defensive grenade wz. 33
artwork_left,the crucifixion with the virgin and st john (ter brugghen),artwork_right,the crucifixion with the virgin and st john (hendrick ter brugghen)
shoppingmall_left,shangri-la plaza mall,shoppingmall_right,shangri-la plaza
award_left,holberg prize,award_right,holberg international memorial prize
election_left,"minnesota house of representatives elections, 2010",election_right,"minnesota house of representatives election, 2010"
christianbishop_left,tod brown,christianbishop_right,tod david brown
naturalevent_left,2011 burma earthquake,naturalevent_right,2011 myanmar earthquake
hospital_left,kapiolani medical center at pali momi,hospital_right,pali momi medical center
artwork_left,salvator mundi (leonardo),artwork_right,salvator mundi (leonardo da vinci)
museum_left,railway museum (belgrade),museum_right,"railway museum, belgrade"
railwayline_left,funicular de vallvidrera,railwayline_right,vallvidrera funicular
wrestler_left,kim gwang-seok (wrestler),wrestler_right,kim gwang-seok (wrestler)
footballleagueseason_left,soviet second league b 1990,footballleagueseason_right,1990 soviet second league b
naturalevent_left,2013 nantou earthquake,naturalevent_right,march 2013 nantou earthquake
enzyme_left,sulfur reductase,enzyme_right,sulfhydrogenase
legislature_left,york city council,legislature_right,city of york council
legislature_left,national assembly (saint kitts and nevis),legislature_right,national assembly of saint kitts and nevis
artwork_left,october 26 1993,artwork_right,26 october 1993
song_left,sick of you,song_right,sick of you (gwar song)
footballmatch_left,2013 soccer bowl,footballmatch_right,soccer bowl 2013
wrestler_left,dean ambrose,wrestler_right,jon moxley
amphibian_left,cowan's mantella,amphibian_right,cowan's mantella
soccerclubseason_left,2008 derry gaelic football season,soccerclubseason_right,derry football season 2008
museum_left,museum of aviation (belgrade),museum_right,"museum of aviation, belgrade"
reptile_left,desert lidless skink,reptile_right,desert lidless skink
basketballteam_left,galatasaray sk (wheelchair basketball),basketballteam_right,galatasaray s.k. (wheelchair basketball)
soccerleague_left,west cheshire association football league,soccerleague_right,west cheshire amateur football league
reptile_left,dominican blind snake,reptile_right,dominican blind snake
motorsportseason_left,2000 fia gt championship season,motorsportseason_right,2000 fia gt championship
magazine_left,brick (magazine),magazine_right,"brick, a literary journal"
footballleagueseason_left,1996 mongolia premier league,footballleagueseason_right,1996 mongolian premier league
footballleagueseason_left,jordan league 1954,footballleagueseason_right,1954 jordan league
basketballteam_left,galatasaray sk (women's basketball),basketballteam_right,galatasaray medical park (women's basketball)
nationalfootballleagueseason_left,1921 detroit tigers (nfl) season,nationalfootballleagueseason_right,1921 detroit tigers season (nfl)
tournament_left,2013 uefa european under-21 football championship,tournament_right,2013 uefa european under-21 championship
governmentagency_left,department of atomic energy (india),governmentagency_right,department of atomic energy
unitofwork_left,heart of atlanta motel v. united states,unitofwork_right,"heart of atlanta motel, inc. v. united states"
magazine_left,avotaynu magazine,magazine_right,avotaynu (magazine)
memberofparliament_left,"sir thomas colebrooke, 4th baronet",memberofparliament_right,"sir edward colebrooke, 4th baronet"
motorsportseason_left,1987 imsa gt championship season,motorsportseason_right,1987 imsa gt championship
soccerclubseason_left,2013 incheon united season,soccerclubseason_right,2013 incheon united fc season
footballmatch_left,wps all-star 2010,footballmatch_right,2010 wps all-star game
sportsleague_left,intercontinental cup (basketball),sportsleague_right,fiba intercontinental cup
shoppingmall_left,bahrain city centre,shoppingmall_right,city centre bahrain
election_left,"northern ireland local elections, 1985",election_right,"northern ireland local government elections, 1985"
election_left,"republican party (united states) presidential primaries, 1940",election_right,"republican party presidential primaries, 1940"
legislature_left,council of states (south sudan),legislature_right,council of states of south sudan
venue_left,a.o. shirley recreation ground,venue_right,a. o. shirley recreation ground
basketballteam_left,yongin samsung life blue minx,basketballteam_right,yongin samsung blueminx
givenname_left,miley (name),givenname_right,miley (given name)
shoppingmall_left,"westgate shopping centre, oxford",shoppingmall_right,"westgate, oxford"
christianbishop_left,philip michael ellis,christianbishop_right,michael ellis (bishop)
hospital_left,medstar harbor hospital,hospital_right,harbor hospital
amphibian_left,lesueur's frog,amphibian_right,lesueur's frog
reptile_left,seychelles sucker-tailed gecko,reptile_right,seychelles sucker-tailed gecko
railwayline_left,busan metro line 2,railwayline_right,busan subway line 2
country_left,principality of arbanon,country_right,principality of arbã«r
soccerclubseason_left,2012 orlando city s.c. season,soccerclubseason_right,2012 orlando city sc season
shoppingmall_left,regency square mall (jacksonville),shoppingmall_right,"regency square mall (jacksonville, florida)"
case_left,national railroad passenger corporation v. boston & maine corp.,case_right,national railroad passenger corp. v. boston & maine corp.
footballmatch_left,2001 international rules series,footballmatch_right,2001 international rules series
ethnicgroup_left,lithuanians in brazil,ethnicgroup_right,lithuanian brazilians
tournament_left,2003 south american u-20 championship,tournament_right,2003 south american youth championship
shoppingmall_left,the centrepoint,shoppingmall_right,the centrepoint
governmentagency_left,institute for nature conservation and biodiversity,governmentagency_right,institute for nature conservation and forests
ethnicgroup_left,georgians in israel,ethnicgroup_right,georgian jews in israel
museum_left,holburne museum of art,museum_right,holburne museum
rugbyleague_left,rugby world cup final,rugbyleague_right,list of rugby world cup finals
wrestler_left,tiny the terrible,wrestler_right,tiny the terrible
song_left,fly from here (song),song_right,fly from here (song series)
soccertournament_left,1992 croatian cup,soccertournament_right,1992 croatian football cup
award_left,grammy award for best short form music video,award_right,grammy award for best music video
magazine_left,young magazine,magazine_right,weekly young magazine
noble_left,"mir nizam ali khan, asaf jah ii",noble_right,"nizam ali khan, asaf jah ii"
televisionstation_left,wvvq-lp,televisionstation_right,wvvq-ld
rugbyleague_left,south american women's sevens championship,rugbyleague_right,women's rugby sevens in south america
artwork_left,queen califia's magical circle,artwork_right,queen califias magic circle
christianbishop_left,john bullock,christianbishop_right,john bullock (bishop)
soccerclubseason_left,cienciano season 2003,soccerclubseason_right,2003 cienciano season
case_left,state farm v. campbell,case_right,state farm mutual automobile insurance co. v. campbell
governmentagency_left,memorial museum of astronautics,governmentagency_right,memorial museum of cosmonautics
sportsleague_left,fiba world championship for women,sportsleague_right,fiba women's basketball world cup
wrestler_left,eddie creatchman,wrestler_right,eddy creatchman
country_left,kurt dynasty,country_right,kurt dynasty
reptile_left,antilles leaf-toed gecko,reptile_right,antilles leaf-toed gecko
tournament_left,1988 uefa european under-18 football championship,tournament_right,1988 uefa european under-18 championship
soccertournament_left,2010 concacaf under-20 women's championship,soccertournament_right,2010 concacaf women's u-20 championship
memberofparliament_left,angus valdemar hambro,memberofparliament_right,angus hambro
clericaladministrativeregion_left,roman catholic diocese of simla and chandigargh,clericaladministrativeregion_right,roman catholic diocese of simla and chandigarh
wrestler_left,alex pourteau,wrestler_right,alex porteau
sportfacility_left,hellinikon olympic arena,sportfacility_right,helliniko olympic arena
monarch_left,shirvanshah ahmad,monarch_right,ahmad of shirvan
artwork_left,portrait of a knight (carpaccio),artwork_right,young knight in a landscape
unitofwork_left,"sinochem international co., ltd. v. malaysia international shipping corporation",unitofwork_right,sinochem international co. v. malaysia international shipping corp.
noble_left,"christopher, count of hohenzollern-haigerloch",noble_right,"christoph, count of hohenzollern-haigerloch"
historicbuilding_left,st. john's seminary (wonersh),historicbuilding_right,"st john's seminary, wonersh"
artwork_left,st. sebastian (bernini),artwork_right,saint sebastian (bernini)
device_left,qf 3 pounder hotchkiss,device_right,qf 3-pounder hotchkiss
railwayline_left,harbour line (mumbai suburban railway),railwayline_right,harbour line (mumbai suburban railway)
museum_left,copia,museum_right,copia (museum)
song_left,wind the bobbin up,song_right,wind the bobbin up
amphibian_left,golden mantella,amphibian_right,golden mantella
unitofwork_left,cottage savings association v. commissioner,unitofwork_right,cottage savings ass'n v. commissioner
ethnicgroup_left,rusyn american,ethnicgroup_right,rusyn americans
givenname_left,navneet (given name),givenname_right,navneet
election_left,"elections to the madrid assembly, 2011",election_right,"madrid assembly election, 2011"
reptile_left,bougainville's skink,reptile_right,bougainville's skink
soccertournament_left,1968 uefa european under-18 football championship,soccertournament_right,1968 uefa european under-18 championship
sportfacility_left,rentschler field (stadium),sportfacility_right,pratt & whitney stadium at rentschler field
railwayline_left,fr5 (lazio regional railways),railwayline_right,fl5 (lazio regional railways)
award_left,tvynovelas award for best co-star actor,award_right,tvynovelas award for best co-lead actor
reptile_left,marbled water monitor,reptile_right,marbled water monitor
magazine_left,due south (magazine),magazine_right,due south magazine
ethnicgroup_left,korean canadian,ethnicgroup_right,korean canadians
case_left,winona & st. peter r. co. v. barney,case_right,winona & st. peter railroad co. v. barney
reptile_left,fisk's house snake,reptile_right,fisk's house snake
artificialsatellite_left,sentinel 3,artificialsatellite_right,sentinel-3
artificialsatellite_left,lightsail-1,artificialsatellite_right,lightsail 2
amphibian_left,carabaya toad,amphibian_right,carabaya toad
governmentagency_left,ministry of agriculture and irrigation,governmentagency_right,ministry of agriculture and irrigation (myanmar)
enzyme_left,alpha-amylase,enzyme_right,alpha-amylase
tournament_left,2004 uefa european under-19 football championship,tournament_right,2004 uefa european under-19 championship
soccertournament_left,2000 melanesia cup,soccertournament_right,melanesia cup 2000
noble_left,"matilda of flanders, duchess of brabant",noble_right,"matilda of boulogne, duchess of brabant"
sportsleague_left,calcutta premier division,sportsleague_right,calcutta football league
venue_left,soldotna sports center,venue_right,soldotna regional sports complex
politicalparty_left,union of the centre (1994),politicalparty_right,union of the centre (1993)
artificialsatellite_left,dragon c2+,artificialsatellite_right,cots demo flight 2
basketballteam_left,pbc lokomotiv kuban,basketballteam_right,pbc lokomotiv-kuban
ethnicgroup_left,anglo-celtic australian,ethnicgroup_right,anglo-celtic australians
amphibian_left,mountain-top nursery frog,amphibian_right,mountain-top nursery frog
motorsportseason_left,1965 united states road racing championship season,motorsportseason_right,1965 united states road racing championship
artwork_left,the bohemian (bouguereau painting),artwork_right,the bohemian
basketballteam_left,ionikos nikaias b.c.,basketballteam_right,ionikos nikaias bc
amphibian_left,tam dao salamander,amphibian_right,tam dao salamander
reptile_left,robertson dwarf chameleon,reptile_right,robertson dwarf chameleon
reptile_left,vietnamese leopard gecko,reptile_right,vietnamese leopard gecko
soccerleague_left,swedish football division 1 norra,soccerleague_right,swedish football division 1 norra
governmentagency_left,oklahoma office of the chief medical examiner,governmentagency_right,oklahoma chief medical examiner
museum_left,currency museum,museum_right,currency museum (canada)
amphibian_left,copland's rock frog,amphibian_right,copland's rock frog
soccerleague_left,2. liga (slovakia),soccerleague_right,i liga (slovakia)
stadium_left,stade d'albert domec,stadium_right,stade albert domec
reptile_left,indian fringe-fingered lizard,reptile_right,indian fringe-fingered lizard
politicalparty_left,christian democracy for autonomies,politicalparty_right,christian democracy for the autonomies
case_left,manual enterprises v. day,case_right,"manual enterprises, inc. v. day"
unitofwork_left,taylor v. state of mississippi,unitofwork_right,taylor v. mississippi
givenname_left,margaret (name),givenname_right,margaret
song_left,rock island line (song),song_right,rock island line
election_left,"somaliland parliamentary election, 2014",election_right,"somaliland general election, 2015"
country_left,merkit people,country_right,merkit
song_left,there is power in a union,song_right,there is power in a union
motorsportseason_left,2003 european touring car championship season,motorsportseason_right,2003 european touring car championship
soccertournament_left,2010 uefa women's u-17 championship,soccertournament_right,2010 uefa u-17 women's championship
ethnicgroup_left,franco-albertan,ethnicgroup_right,franco-albertans
case_left,baylis v. travelers' insurance company,case_right,baylis v. travelers' insurance co.
tournament_left,1996 uefa european under-21 football championship,tournament_right,1996 uefa european under-21 championship
sportfacility_left,civic stadium (eugene),sportfacility_right,"civic stadium (eugene, oregon)"
railwayline_left,schynige platte railway,railwayline_right,schynige platte railway
election_left,"catalan parliamentary election, 2003",election_right,"catalonian parliamentary election, 2003"
device_left,canon de 75 mle gp11,device_right,canon de 75 mle gp ii
amphibian_left,southern giant salamander,amphibian_right,southern giant salamander
ethnicgroup_left,chilean australian,ethnicgroup_right,chilean australians
legislature_left,national assembly (sudan),legislature_right,national assembly of sudan
device_left,motorola ming,device_right,motorola ming
artwork_left,sumbanese woman's ceremonial skirt,artwork_right,sumbanese woman's ceremonial skirt (indianapolis museum of art)
ethnicgroup_left,ecuadorian people,ethnicgroup_right,ecuadorians
device_left,surface pro,device_right,microsoft surface pro
reptile_left,savigny's agama,reptile_right,savigny's agama
country_left,kingdom of syria,country_right,arab kingdom of syria
country_left,united states of belgium,country_right,united belgian states
case_left,united states v. american library association,case_right,united states v. american library ass'n
country_left,free french forces,country_right,free france
museum_left,international museum of horology,museum_right,musã©e international d'horlogerie
soccertournament_left,1960 uefa european under-18 football championship,soccertournament_right,1960 uefa european under-18 championship
unitofwork_left,baylis v. travelers' insurance company,unitofwork_right,baylis v. travelers' insurance co.
memberofparliament_left,james mcnulty (politician),memberofparliament_right,james mcnulty (canadian mp)
reptile_left,island least gecko,reptile_right,island least gecko
reptile_left,greek rock lizard,reptile_right,greek rock lizard
historicbuilding_left,"frauenkirche, nuremberg",historicbuilding_right,nuremberg frauenkirche
soccerclubseason_left,2011 woodlands wellington season,soccerclubseason_right,2011 woodlands wellington fc season
award_left,bafta rising star award,award_right,"rising star award, bafta"
case_left,united states v. davis,case_right,united states v. davis (1962)
monarch_left,'imad al-dawla,monarch_right,'imad al-daula
politicalparty_left,pirate party (bulgaria),politicalparty_right,pirate party of bulgaria
givenname_left,asad,givenname_right,asad (name)
historicbuilding_left,st clement eastcheap,historicbuilding_right,"st clement's, eastcheap"
christianbishop_left,mark davies (bishop of middleton),christianbishop_right,mark davies (bishop of middleton)
legislature_left,house of representatives (cyprus),legislature_right,house of representatives of cyprus
election_left,"bahraini parliamentary election, 2006",election_right,"bahraini general election, 2006"
song_left,these are the days (song),song_right,these are the days (van morrison song)
tournament_left,2011 arab u-20 championship,tournament_right,2011 arab cup u-20
ethnicgroup_left,mulukanadu brahmins,ethnicgroup_right,mulukanadu brahmin
motorsportseason_left,2005 red bull air race world series season,motorsportseason_right,2005 red bull air race world series
magazine_left,ray li,magazine_right,ray li (magazine)
reptile_left,yellow monitor,reptile_right,yellow monitor
election_left,"california state senate elections, 2008",election_right,"california state senate election, 2008"
basketballteam_left,brooklyn kings,basketballteam_right,brooklyn kings (basketball)
shoppingmall_left,florence mall,shoppingmall_right,florence mall (kentucky)
motorsportseason_left,2009 international gt open season,motorsportseason_right,2009 international gt open
legislature_left,odisha legislative assembly,legislature_right,legislative assembly of odisha
clericaladministrativeregion_left,apostolic exarchate in the czech republic,clericaladministrativeregion_right,ruthenian catholic apostolic exarchate of czech republic
governmentagency_left,ministry of telecommunications,governmentagency_right,ministry of information technology and telecommunication
basketballteam_left,trikala b.c.,basketballteam_right,trikala 2000 b.c.
soccerleague_left,swedish football division 1,soccerleague_right,division 1 (swedish football)
reptile_left,turnip-tailed gecko,reptile_right,turnip-tailed gecko
soccertournament_left,2007 ofc champions league,soccertournament_right,2006â07 ofc champions league
ethnicgroup_left,romani in canada,ethnicgroup_right,romani people in canada
basketballteam_left,ionikos lamias b.c.,basketballteam_right,ionikos lamias bc
award_left,1999 brit awards,award_right,1999 brit awards
basketballteam_left,cuxhaven bascats,basketballteam_right,cuxhaven bascats
memberofparliament_left,peter fisher (australian politician),memberofparliament_right,peter fisher (politician)
ethnicgroup_left,israeli american,ethnicgroup_right,israeli americans
legislature_left,house of lords of prussia,legislature_right,prussian house of lords
memberofparliament_left,ben riley (mp),memberofparliament_right,ben riley (politician)
christianbishop_left,patrick macmahon,christianbishop_right,patrick macmahon (bishop)
motorsportseason_left,2007 fia gt championship season,motorsportseason_right,2007 fia gt championship
amphibian_left,nankiang horned toad,amphibian_right,nankiang horned toad
sportsleague_left,nsw state league division two,sportsleague_right,nsw state league division 2
monarch_left,al-ashraf musa,monarch_right,"al-ashraf musa, emir of homs"
legislature_left,austrian parliament,legislature_right,parliament of austria
artwork_left,st. jerome in the wilderness,artwork_right,st. jerome in the wilderness (leonardo)
case_left,federal election commission v. akins,case_right,fec v. akins
reptile_left,knysna dwarf chameleon,reptile_right,knysna dwarf chameleon
unitofwork_left,"cooper industries v. leatherman tool group, inc.",unitofwork_right,"cooper industries, inc. v. leatherman tool group, inc."
case_left,connecticut general life insurance company v. johnson,case_right,connecticut general life insurance co. v. johnson
shoppingmall_left,"zona rosa (kansas city, missouri)",shoppingmall_right,zona rosa (kansas city)
noble_left,margrave frederick of brandenburg-schwedt,noble_right,frederick of brandenburg-schwedt
legislature_left,senate (south korea),legislature_right,senate of south korea
televisionstation_left,w39co,televisionstation_right,wwbk-lp
ethnicgroup_left,corsican people,ethnicgroup_right,corsicans
case_left,addyston pipe and steel company v. united states,case_right,addyston pipe & steel co. v. united states
motorsportseason_left,2010 world touring car championship season,motorsportseason_right,2010 world touring car championship
shoppingmall_left,st. laurent centre,shoppingmall_right,st. laurent shopping centre
country_left,kurt dynasty,country_right,kartids
unitofwork_left,"verizon communications v. law offices of curtis v. trinko, llp",unitofwork_right,"verizon communications inc. v. law offices of curtis v. trinko, llp"
soccerleague_left,i-league u20,soccerleague_right,i-league u19
soccertournament_left,2003 uefa european under-19 football championship,soccertournament_right,2003 uefa european under-19 championship
amphibian_left,lowland leopard frog,amphibian_right,lowland leopard frog
election_left,"camden council election, 2010",election_right,"camden london borough council election, 2010"
