actorid,movieid,role
326,171227,Lederhosen
326,340765,Guard
327,233316,
327,301291,
327,313888,
327,341216,
327,378291,
328,357697,
329,18088,
330,82743,Street Kid
331,14564,Sandro
331,20751,Damiano Fortezza
331,20794,Felice
331,20795,
331,23571,Aldarico/Attila
331,29774,Matteo
331,52871,Dario
331,52880,Tangaro
331,53016,Camillo
331,69141,Umberto
331,97164,Donato/Tirzan/Franco
331,108875,Fornaio
331,111891,Felice
331,111906,Capo delle 'Belve'
331,112643,Tommaso
331,132807,Mago di Segrate
331,162053,Sergio
331,189290,Lucio
331,205488,Alberto Brogini
331,206320,Ponchia
331,207947,Paolo
331,209489,Nicola Lorusso
331,212094,Paolo Torregiani
331,217116,
331,217609,Voice
331,229601,Fulvio Colombo
331,233188,Solo
331,247967,Padre Gabriele
331,248056,Il King
331,252641,Joseph
331,263240,L'esattore della luce
331,266897,Mario Tozzi
331,270883,Nicola
331,272453,Domingo Ras
331,274785,Franco Mattioli
331,279243,Franco Mattioli
331,281108,Il Secco
331,289211,Il tifoso
331,289330,Ducho
331,291556,Piero
331,315939,Dario
331,324460,Diego
331,328891,Angelo Beliossi
331,332747,Zebrone
331,336197,Franco
331,338003,
331,342038,Dario
331,344611,Duccio
331,349520,Galeazzo
331,349532,
331,355762,Achille Cotone
331,355820,Padre Pedro
331,384758,Commissario Corso
331,386329,Diego
331,387944,Commissario Corso
331,390128,
331,404686,"Orso, the desertor"
332,50993,Mari africain
332,62459,
333,189396,
333,317572,
334,198,
334,64245,
334,307440,
334,334479,
335,189295,
335,229425,
336,365194,Bartender
337,10150,Demon
337,11426,Dr. David Wyckoff
337,24137,Maitre D'
337,46529,Sam
337,65754,Administrator
337,72106,Peter
337,79938,Talk Show Host
337,81652,Restaurant Owner
337,108333,Examiner #2
337,115470,Dishevelled Man
337,154040,Court Clerk
337,163492,Second Cuban
337,186680,Yogi Gupta
337,213097,
337,223026,Lucien
337,285049,Phil Lombardi
337,296808,Deputy Hank Hart
337,304822,Locke
337,317902,Salazar
337,337098,McKlellen
337,340732,Glen Fulton
337,346902,Repairman
338,145238,
339,256260,Bizie
340,281402,Patron #1
341,130016,Old Man
341,200063,Lenny
341,224192,Mobster
341,276858,Dr. Vernon Peck
342,249819,Boy in Bath
343,164157,Detective
343,166274,
343,253522,Le chauffeur de taxi
343,283021,
344,120635,Officer
344,213352,Lord William
345,103951,
346,307741,Westtech Security #2
347,53617,
347,104718,Himself
347,104730,Host
347,104779,Host
347,387959,Himself - Co- Presenter (2004
347,405465,Raci
348,269722,Jhong
349,135366,
350,25982,
350,97990,
351,25536,Abdel Hakim Amer
352,8596,
352,8603,
352,9751,
352,12257,
352,14440,
352,15314,
352,15350,
352,19608,
352,23166,Hamdi
352,25490,
352,25999,Kamal
352,27759,
352,37717,
352,77123,
352,88342,Bigeard
352,98102,Mohamed El-Guindy
352,100224,
352,100901,Ahmed
352,111829,
352,117984,
352,122699,
352,124213,Ahmed Ezzat
352,140430,Khaled
352,140851,
352,147082,
352,153304,
352,159963,
352,162237,
352,164058,
352,172637,
352,174638,
352,176073,
352,180542,"Samy, The Director)"
352,183008,
352,184307,
352,187638,
352,201234,
352,202114,
352,202422,
352,208268,
352,214129,
352,214332,
352,216683,
352,221766,
352,222464,
352,222889,
352,222989,Amin
352,229470,
352,260882,
352,271591,
352,272952,Ahmed Ragab
352,286764,
352,294637,
352,297144,Saad Selim
352,298859,
352,303351,
352,309598,
352,324286,
352,324941,Saber
352,324992,
352,324993,
352,327685,
352,334769,
352,358012,Mahmud
352,370134,
352,372391,
352,375923,
353,409281,
354,244185,
355,187325,Omar
356,173011,
357,409010,
357,410403,
358,259713,cameriere del Baloon
358,269739,Impiegato
359,90154,Soldier
360,116882,Himself
361,16151,Jimmy Edward Benedictus
361,169017,Joni
362,11446,Fat Ira
363,24339,Conductor
363,65387,Himself
363,129042,Conductor
363,141779,Conductor
363,148614,Conductor
363,197927,Conductor
363,276076,Himself (conductor)
364,388646,Karim
365,396649,
366,5192,Santa Lucia Club Owner
367,37693,
367,102769,
367,231885,Intimate Strangers Segment
367,319910,Policeman
367,380039,
368,16182,
368,18068,Rajnath Guru
368,83741,
368,135941,
368,137812,
368,139993,
368,164768,
368,171992,Arun
368,173317,
368,210215,
368,214723,Rajiv Samuel
368,246314,Nilambari's nephew
368,247292,Anand
368,273417,
368,285825,
368,299456,
368,320408,
369,5932,Arab guard
369,16684,
369,20625,Extra
369,24705,Mexican Vendor
369,32066,Hoodlum
369,36970,
369,96829,Carnival Townsman
369,112582,Construction worker
369,164862,
369,177528,Arab
369,183627,Man With Potted Palm
369,198844,Arabian
369,223913,Fireman/Egyptian porter
369,303112,Arab Singer
369,346185,
369,360482,
370,171938,
371,217096,
372,23298,
372,53853,Sabonete
372,63821,
372,70771,
372,184299,
372,213736,
372,275029,
372,276572,Lucas
372,295094,
372,333696,
372,344755,
372,361081,
372,380086,
372,380154,
372,383243,Teodoro
372,383677,Vitório
372,383907,
372,388641,
372,389789,Delacroix
372,390507,
372,392846,
372,393463,
372,393876,
372,394600,
372,395366,João
372,395405,
372,398362,
372,400597,
372,401199,Padilha
372,401482,
372,402264,Guedes
372,404271,Pedro
372,405808,
372,408315,
372,409407,Homero
372,409902,
372,409937,Indalécio
372,411579,
372,412270,
373,129737,Shukri
373,300565,Spy
373,332419,Jaber
373,371908,Nadim
374,171724,Balti Porter
375,209,Karl Meyer
375,43144,Artist
375,109789,Quentin Sylvester
375,114177,Sampson Cavor
375,125874,
375,136538,Biergarten Manager
375,159542,
375,199342,Le Blanc
375,203553,Nichols
375,239746,"Wizista, the hypnotist"
375,241627,Driver
375,252441,Old Spanish Jew
375,264054,Murray
375,275411,Burgher at auction
375,281358,
375,290336,Moses
375,358976,Zapportas
375,358977,Isaachar the Miser
376,237087,Prime Minister of Palestine (
377,77047,
377,93103,Abbas
377,174148,Mohan
377,272173,Pappu
377,375202,
378,149953,Head Kidnapper
378,202080,Ibrahim
379,312532,
380,62716,
381,344356,
382,131215,Kamel
383,234872,Niaz
384,47973,Asif
384,137930,Attendant to Claudius
384,160034,Journalist
384,403462,Nazir Mailk
384,408637,Tariq Khan
385,86593,
385,344279,
385,357212,
386,301291,
387,187325,Conductor
388,162734,
389,172079,
389,330353,Coolie
390,252009,
391,66308,Hitman #1
391,224184,Construction worker
391,304716,Carlo D'Agnese
391,330890,DeGrazio Soldier Outside Ware
392,5372,"Lucio Dawla, the singer"
392,96523,
394,102616,Prof. Marino
394,124567,
394,129039,
394,229603,Vincenzo Rapallo
394,270840,
394,272855,
394,286980,
394,342025,
394,355236,Gen. Martini
394,356223,Mario's father
394,390092,
394,409441,
395,12912,Monsignor Rea
395,17671,
395,25859,
395,56328,Terenzi
395,56354,7th Brigadist
395,61367,Gianluca
395,63890,
395,68781,
395,69219,
395,86064,Terrorist
395,94638,Maresciallo
395,97167,Schoolmaster
395,111159,Prof. De Angelis
395,121898,
395,156547,Vincas
395,212499,Mele
395,246416,
395,292270,Zio Umberto
395,293357,
395,313179,The Patient
395,327486,
395,340310,
395,344583,
395,355357,
396,181276,Sal
399,355880,
401,410838,Onno Biels (2000-2001)
402,131372,Outsider
403,26225,Henry Dawes
403,26729,H.H. Hornby
403,44711,James D. Griswold
403,54369,Cappy Ricks
403,69681,Eskew Arp
403,148565,Rufus Brent
403,233070,Peter Amos Dunn
403,361661,R.N. Arnhalt
404,108221,Jeune ouvrier
405,60169,The valet
405,142988,Kato Nakamura
405,195096,Quong Sung
405,224825,Yano
405,246477,Wong
405,323787,The Worm
405,335410,Lucero
405,364200,Taro San
405,365887,Nogo
406,364013,Lt. Rossini
407,367531,Prof. Pesca
408,133536,"Dan Patch, a Horse"
409,91255,
410,170243,Crew mate
411,307686,Third Man
412,375687,
413,73251,Lucien
413,101170,Grand-père Tambourin
413,217727,L'Espagnol
413,262934,Joseph Servettaz
414,72827,Park Quartet
415,288331,
416,80696,Bunny
416,159132,T-Shirt Man
417,156309,L'agent américain/CIA Agent
417,220926,Mr. Freedom
417,257886,Mr. Lacs
417,287230,
418,228473,Home Plate Photographer
419,20625,Extra
419,128171,Eskimo
419,154785,Torres
419,223392,Eskimo
419,285605,Sinister Driver
419,308155,Bartender
420,154927,Kristal's dad
421,107857,Mick Schumann
421,132139,Relative of Malchus
421,222878,Prisoner
421,299040,Boxing Fan
421,382806,Carlton (American Footballer 
421,382826,Restaurant Diner
421,387247,Mack (2003)
421,391079,Photographer
421,403059,Transport Soldier
421,409386,SAS soldier #1
422,140444,Lonzo
423,137882,Ibrahim/Polonius
424,19215,
424,33676,Enzo
424,43994,Assistant occulist
424,70005,
424,74746,
424,119856,Pippo
424,229639,
424,265310,
424,309170,Party guest
424,351542,
425,216099,
426,37215,Hazad
427,97850,Le chauffeur de taxi
428,121497,Fighter in Bar
429,355237,L'homme à la décapotable
430,57102,Peter #1
431,224680,Morris Carthew
432,372329,Team Member
433,327840,"Piano, Country Blues Band"
434,190213,Dog Park Friend #2
435,23463,Sergeant
436,59912,Recruit
437,23917,Himself
437,144406,Fagin
437,232018,Various
437,252995,
437,384674,Himself
437,389312,
437,396379,
437,396932,Ted Butler
437,403970,Various Characters
437,403971,
437,404862,Ted Fenwick
437,409143,(2002)
437,410867,Himself - Contributor
437,410918,
437,411024,
438,57102,Peter #2
439,4623,Himself
440,41211,Anthony's Thug
440,80619,Quartermaster Lt. Green
441,160141,Gustavo
441,313939,Peter/Cop
442,240235,Himself (Dept. of Roads Direc
443,113956,Bodyguard
444,43227,
445,79556,Constable
445,194996,Reporter 1
445,196903,Officer Phillips
445,347348,Sgt. Wright
445,400466,Teacher
446,243731,Tom Henton
447,27207,Dr. Alex Karmen
447,27952,Dove Christian
447,39861,Michael Russo
447,46757,Dan Cain
447,56654,Keith
447,68276,Deke Williams
447,82669,Prof. Jack Crowley
447,86750,Harry Pierpont
447,161132,Swan
447,168733,Tom Kelly
447,172666,Sam (Father)
447,210233,Alex Kramer
447,245216,Channing Taylor
447,265861,Thomas Daggett
447,273157,Dan Cain
447,318712,Jack Ruffin
447,337990,Taylor Black
447,338273,John Doe'
447,364611,Markus
447,382282,Jake Hale Jr.
448,660,Himself
448,4618,Lester
448,4619,Buzz Kurtis
448,4620,Bud Jones
448,4621,Rocky Stonebridge
448,4622,Slim
448,4623,
448,4624,Bud Alexander
448,4625,Harry Pierce
448,4626,Casey Edwards
448,4627,Peter Patterson
448,7642,Buzz Johnson
448,24533,Himself - in a Jeep in Parade
448,37255,
448,48569,Slicker Smith
448,48570,Slicker Smith
448,48651,Chick Young
448,68135,Al Stewart
448,77677,Bud Flick
448,113940,Man in Long Shots
448,121813,Himself
448,143565,Slats McCarthy
448,144398,
448,146759,Flash Fulton
448,147414,Chuck Murray
448,158067,Eddie Harrington
448,158364,Smokey Adams
448,163190,Grover Mockridge
448,164389,Mr. Dinkel/Mr. Dinkelpuss
448,175111,Blackie Benson
448,191833,Eddie L. Morrison/T.S. Chandl
448,194831,Peter 'Pete' Johnson
448,194834,Tom Watson
448,209659,Himself
448,210615,Himself
448,212196,Harry Lambert
448,228660,Dexter Broadhurst
448,231053,Himself
448,234889,Ted Higgins
448,241592,Abbott
448,248838,Algernon 'Algy' Shaw
448,255337,Himself
448,277844,Duke
448,278607,Doc
448,291323,Himself
448,291355,Himself
448,291389,Himself
448,328553,Chick Young (Abbott and Coste
448,329565,
448,333300,Cuthbert/Dr. Greenway
448,364156,Chick Larkin/Voice of Himself
448,366696,Duke Egan
448,368427,
448,379045,Bud Abbott
448,379046,Abbott
448,381356,Himself - Who's on First rout
448,383804,Himself - selling war bonds
448,384597,"Himself (Host, 1951-1954)"
449,321394,Meditation teacher
450,328277,Infant John Connor
451,296750,Ref (CJ/Opponent #1)
452,62932,Mr. Fox
452,72653,Hank Storm
452,173933,Yahoo #2
452,313756,Vincent Van Gogh
452,330104,Prof. Adkins
452,333326,Hank Duggan
453,61844,
453,396117,Bentley Saxton (1977-1978)
454,29736,Dr. Kirby Halstrom
454,118970,Politician
454,244838,Judge
455,57657,Himself
455,410688,Tank Abbott (1999-2000)
455,410689,Tank Abbot (1999-2000)
455,410690,Tank Abbott (1999-2001)
455,410691,Himself (1999-2000)
456,82943,Stanley Woods
457,27686,
458,375765,Will
458,386236,"Takase, Additional Voices"
458,389570,"Tower Of Babel Technician, Ad"
458,394492,Additional Voices
459,107277,
459,365210,Yuma
460,71595,Tracker
460,301072,Constable
461,809,Forbus
461,30311,Gordon (Boardroom)
461,64933,Lloyd
461,149725,Saul
461,216169,John Andrews
461,277096,Douvier's soldier #1
461,388977,Vern Daniels
462,299183,Himself
463,138890,Roy
463,158882,Leader
463,313166,Terry
463,333102,Simon Brentwood
463,364864,Miner
463,389167,Mick Shipley
464,22176,Patron in Cafe/Rose's Friend 
464,353510,Prince Albert
465,382269,Himself
465,411497,Himself
466,157247,Lem
466,175525,Himself (Honoree)
466,402245,Mr. Antrobus
466,409306,Host (January-April)
467,42402,Deputy Freleng
468,117468,Paramount Newsreel Voice
468,289443,Himself
469,271110,Oscar Nelson
470,368171,Himself
471,318967,Jonty
472,171160,
473,7295,Government official
473,107430,
473,132572,
473,192068,
473,236668,
473,263487,Ralph Connor
473,359887,
474,406982,The Band (1990-1991)
475,26844,Scooter Kid #2
475,192302,Sponge
475,212960,Frank Lanford
475,259828,Kane's People
475,328839,Boy Mayor
475,390691,Stinky Sullivan (1989-1991)
476,192726,Mr. Plummer
477,46742,Crowd Member #2
478,37867,Hassan
479,18158,Mike
479,167043,Rev. Jesse Jackmon Jr.
480,1694,Gregorius
480,5114,Salesman
480,6282,Orchestra conductor
480,6815,Huish
480,17506,Phya Phrom
480,29078,Will Scarlett
480,39283,DuQuai
480,56711,Dr. Reinhart
480,60766,Gayeff
480,69690,De Rozier
480,73174,Jimmy Gordon
480,73772,Baker
480,73904,Sykes
480,74238,Peter Althius
480,78017,Roland Smith
480,81576,Bertram Gribble
480,93101,
480,100854,Chris Martin
480,102113,Ms. Robson's host
480,107695,Martin S. Dwyer
480,123280,Emile
480,126513,Prof. Radowsky
480,127621,Manuel
480,132047,Dr. Ferris
480,133953,Aben
480,138383,Czech Hostage in
480,148927,Welles
480,152656,Rozner
480,155902,Mr. Twyning
480,157187,John Worthing
480,165444,Mason
480,168126,English Spy
480,170723,Akela the Wolf
480,183722,Manservant
480,193583,Jack Rawlings
480,199304,Mayor Tuvache
480,199586,
480,207138,Mr. Pappas
480,211602,Marshovian Ambassador
480,214968,Psychiatrist
480,215862,Grinko
480,221297,"Fred, Beldon Porter (Church)"
480,228820,Pappa Cerrano
480,232408,Karl
480,235695,Lal Bara
480,240245,Yusuf
480,241134,Reporter
480,241561,Joseph
480,245498,Coroner
480,262072,Kaspar Andropolous
480,266721,Dipso Dave Rutherford
480,267615,Jodri
480,269586,
480,276797,
480,277692,Simon Burley
480,280482,Herbert Bielensen
480,282855,Dumbo
480,285711,Count Stephen Duni
480,288208,Roscoe Bean
480,292855,Mortimer Cope
480,297369,Poppy's Escort
480,298590,"Heller, Adler's Butler"
480,300924,Pierre
480,304538,Dr. Frankenstein
480,307842,Don Daniel
480,314250,Mustafa el Melik
480,318793,Lunin
480,327426,Prospero
480,327688,André
480,330167,Vanescu
480,330664,Joe
480,330842,Hood with Foreign Accent
480,331180,Ali (the tailor)
480,331392,
480,332026,Nitra Puta
480,332042,Abel Harmer
480,333319,Max Leiberman
480,343876,Alfonse Lamont
480,346053,Armand
480,350220,Webb Fallon
480,358873,Dr. Bonfant
480,360632,Charles Murdock
480,364357,Roberts
480,367535,Frederick Fairlie
481,68447,Commissioner's Laywer
481,118393,Polite Verger (Wedding four)
481,140678,2nd Gambler
481,200199,Reporter
481,209185,Second Gentleman
481,277057,Tom
481,338786,Joyce
481,372717,Chairman
481,387332,Mouth Organist
481,394146,Derek Cashmere
481,408638,Lawyer
482,411056,Rodney Potter
483,348835,Clem
484,101570,Richard
485,1685,Himself (New York Mets shorts
486,193408,Himself
487,306751,Brian
488,154039,
489,134522,Tukayoo
489,228479,Mark
489,312266,Pocknet
489,339401,Bear Shield
489,345689,Jumping Elk
490,98113,Dan
491,38405,
491,60564,Mike
491,81068,
491,113393,Hawk
491,138239,
491,232957,
491,232979,
491,368068,Thug 2
492,192726,Larry
493,132765,Whistling Messenger
493,175119,Ape
493,358649,Doc
493,363742,Attendant
494,3888,Himself
495,186843,Mr. Welch
496,100126,Himself
497,41393,Deputy
497,44450,Platoon - Vietnam
497,83967,Greg
497,158113,Jeremy
497,275602,Young executive #2
497,317736,Ballast
498,27567,Himself
499,257809,Himself
500,80834,Mr. E.
501,36855,Himself
501,381917,Big Brother (2001-2003)
502,26636,Arnold
502,53162,Flickinger
502,67560,Judge Foster
502,70558,Dist. Atty. George Garfield
502,71271,Assistant Director Arthur War
502,86748,Harry Pierpont
502,103266,Harry Webb
502,108771,Manning
502,114223,Cardinal
502,138322,Frank Morrison
502,161889,Dr. Tom Merrinoe
502,214965,Col. Reed
502,232441,
502,265869,
502,267109,Grandpa
502,288999,Chief Pruitt
502,311249,Frolick
502,311944,Mr. Pierson
502,313756,Dr. Ruby
502,321145,Dr. George Scudder
502,323147,Sen. Scott Lucas
502,331081,Dell Fraser
502,388149,Assistant Director Arthur War
502,389858,Dr. Alex Baker (1987)
502,392139,John Collier
502,394457,Ed Barrett
502,402245,Brinkerhof
502,403335,John Franklin
502,404613,"Dr. Dan Walton, Sr. #2 (1961-"
503,32818,Danish undergroud leader
503,49597,Jones & Co. Clerk
503,60036,"Mr. Blythe, Archie's Assistan"
503,70960,Doctor
503,105804,Dutch Berger
503,118232,Allard Van Leyden
503,134026,Young Priest
503,138848,Rev. Wood
503,152208,Elevator Starter
503,154864,Businessman
503,172961,Peter Blomeier
503,185247,Billings
503,195794,Telegraph Employee
503,218330,Defense Attorney
503,218704,Villager
503,289631,Critic
503,298050,Butler
503,349983,Minister
504,161189,Tom Taylor
506,313939,Henchman
507,214159,
508,1675,Himself
508,2042,Himself (Canadian Comedy Hall
508,2627,Himself (Host - The Royal Can
508,67999,
508,94578,Easterbrook's Patron #1
508,118897,Himself (comedian)
508,168843,Himself
508,171124,Himself (Royal Canadian Air F
508,192282,"Buddy McDonald, co-owner of a"
508,273794,Chubby Man
508,339399,
508,392682,
508,403844,Gilbert Smythe Bite-Me/Jean C
509,103222,Parsons
510,56452,Johnny Goodman
510,61802,Malenkov
510,291297,
510,372144,Warren
510,372544,Brian Asprin
510,384700,The Sandman
510,388487,The Sandman
510,390200,The Sandman
510,390345,The Sandman
510,390346,The Sandman
511,10862,Rancher
511,122793,Det. Wolf
512,160636,Lt. Harding
512,283871,Saloon Owner
513,77144,Tom
513,79863,Tom
513,101060,Rip
513,300919,Guard #1
514,329560,
514,361688,Gee-Tar
515,337482,Cowdor
516,141452,
516,161501,
516,191373,
516,224159,
516,281587,
516,290967,
516,291859,
516,340928,
517,269138,Boy
518,309752,Chief lifeguard
519,99205,Various characters
520,33804,Youssef
520,59491,Rachid
520,108895,
520,281928,Ben Jemoul 2
520,290440,Le coursier en scooter
520,307109,
520,326129,Rachid
521,171667,Ourt
521,261794,Soldat
522,251296,
523,346599,Ali
524,22637,
524,31018,The S.A.V. Salesman
524,236579,
524,239722,The Priest
525,17139,Alessandro
525,91051,
525,121899,
525,162053,Pino
525,183234,Minuicchio
525,188601,Saverio Esposito
525,235369,Pippo
525,243045,Pietro
525,328897,
525,347470,Rocco
525,410050,Stefano
526,89907,Chester
527,283678,Obnoxious Sailor (English ver
528,5277,"Abu Beker, local leader"
528,12102,
528,118836,Himself
528,162733,Amr
529,275394,Zarobljenik Zijo Bajric
529,410330,Policajac
530,360180,Horse Dealer
531,149552,
532,25028,
532,104022,
532,189403,Tanker Driver
532,212257,Ernesto
533,19687,Shushan Gorky
534,204035,
535,8876,Tony
535,34965,Conferencier
535,76745,Derek van Romondt
535,110247,Prof. Hassan Uleidi
535,390242,Eddie (1990-1992)
536,8876,Toni
537,389681,Host
538,88376,Chef Pizzaiolo
538,174166,Larbi
538,356195,
540,356366,
541,16954,
541,257509,Hassan
542,12083,
543,22062,
543,112946,
543,143987,
543,175912,
543,220686,"Fathi, the Detective"
543,270956,
544,137399,
544,301461,
545,25690,Butler John
545,76709,
545,223559,
545,266016,
545,388489,Evropeyets
545,394752,Nalogovyj inspector
546,126067,Turk
547,27520,Badry
548,3311,"(segment Tapin du soir"")"""
548,144343,Samy
549,338048,
550,826,Fuzzy Dice Vendor
550,58438,
550,98717,Hussein
550,139507,Shaheen
550,175912,
550,178242,Sheikh Hosny
550,226734,
550,284635,
550,285535,Mansor Bahgat
550,309700,Ahmed Abol Mahasen
550,326263,
550,329232,
550,372391,
550,374658,Allalah
551,25982,
552,19911,
552,20201,Guy #1 Proposing
552,147081,Dr. Moheeb Elnashoukaty
552,155238,
552,162235,Elyan
552,175906,
552,189531,
552,216703,
552,281075,
552,285528,Gad
552,300770,
553,227898,
554,147083,Mourad
555,137056,
555,270995,
555,357100,Le tueur
556,137056,
556,285493,Farah's Father
557,24680,Dr. Maher
558,303354,
558,326170,
559,52063,Fourth Officer
560,220686,Haramy
561,15313,
561,27753,
561,109098,
561,222351,
561,275637,
561,285493,Khaled
562,92029,
562,127031,Himself
562,202801,
562,359378,Mohammad
562,370296,
562,371907,
563,9153,
563,9887,
563,15338,
563,28238,
563,239374,
564,162733,Guindi
564,205282,
564,209468,The film director
564,304149,Ezz Eldine
565,162734,
565,303051,
566,207262,
567,399813,Himself/D.J. (199?-2001)
568,131548,Himself
569,4959,
569,5006,
569,30603,Bassiouny
569,97542,
569,138966,
569,138967,Heema
569,187516,
570,25493,
570,334410,Guy in Bar
571,166141,Le père d'Ali
572,26085,
572,175959,
573,336168,Samir
574,315893,Verfolger/Chaser
575,84695,Jeune beur
576,390523,Michael Tranter (2003-)
577,368740,Ung Woyzeck
578,142184,
579,28395,
579,140430,Father
579,222298,Uncle
581,25986,Tewfik
582,211787,Uriqat
583,118824,
583,156487,Le psychiatre
583,255567,Djaffar
583,284218,Stepan
583,309988,"Hamid, le frère aîné"
583,322335,Cast Member
583,355808,"Nounou, le concierge"
583,375794,L'Excite
584,379655,Chérif célibataire
585,290189,
586,24671,
587,83355,Le gamin
588,285500,Tuareg #1
589,303119,Iván
590,356521,Hassid
591,284940,Matches man
592,46080,
592,140605,
592,167268,Omar's Elite Guard
593,261761,Riva
594,59094,Samara
595,167268,Omar's Elite Guard
596,167268,F-16 Pilot
597,162733,Dancer
598,286313,Serveur mariage
599,176837,Garde du corps
600,48294,
600,205051,Roberto
600,344734,
601,132063,
602,169856,Barabbas
603,169856,Phillip
604,80663,
605,97517,Grubber
606,159691,
607,79518,Foot Soldier Uriah
608,220479,
609,271421,Nadira
610,48305,
611,39930,Arab Guard
612,146517,
613,356367,
614,61814,
615,218460,Saïd
616,377629,Salim
617,21730,Milicien
617,282002,Le chauffeur du camion
617,333759,Serviteur Yasmina
618,10270,Skog
618,354083,Lainajussi #4
619,135324,Si Ahmed
620,183622,Capt. Anton
621,134966,Yusuf
622,32024,
623,6152,
623,8741,
623,10503,
623,65420,
623,82256,
623,92318,
623,98438,
623,148831,Akbar
623,246882,
624,272996,Girl
625,64341,Nidam
626,21580,
626,88475,
627,265049,
628,39456,Petty Officer
629,25751,Zack
629,175357,
629,319853,Sunny
629,341420,
630,299794,Local Kid
631,43021,
632,10520,Arab to Intone Evening Prayer
632,69823,Immigration officer
632,112508,Lackey
632,118334,Sheik
632,177988,Aide to Grand Vizier
632,194831,Native
632,222326,Pierre
632,271293,Soldier
632,302454,
632,304587,Native
632,327585,Egyptian Policeman
632,331180,Muezzin
632,371887,Man in Lounge
633,96290,
634,100726,Taxi Driver
634,263176,Company Man
634,316674,White Bum
634,353611,L.T. Romano
636,346185,
637,61814,
637,344844,
638,355808,Ami de M. Fares
639,68351,Jackson
640,19816,
641,300672,
642,120025,
643,101174,Warden of the Cage
643,148670,
644,116485,Un ami de Si Tayeb
645,355808,Le serveur du Rouge-Gorge
646,108985,Fara
646,240386,
646,336429,
647,25708,
647,42227,
647,340240,Kadyrov
647,371291,
648,234979,Oroveso
648,286815,Satrapo di Gaza
649,229912,
650,129952,
650,373474,Rakhimov
651,329198,
652,64153,
653,261689,
653,376217,
654,4244,
654,31253,
654,45588,
654,85216,
654,88485,
654,98526,
654,135941,
654,328180,
655,157600,Himself
656,6190,
656,198653,Atteya Assfoor
656,241888,Sniffy
657,182339,
658,180222,Robber
659,153617,Man on boat
660,292175,Cash and carry staff
661,32444,
661,37649,
663,16182,
664,251801,Bicyclist
665,2573,Himself - performer
665,48040,
665,274126,Himself
666,97489,Officer
