query_table,query_column,query_value,candidate_table,candidate_column,candidate_value
railwayline_left,title,wooloongabba branch railway line,railwayline_left,title,wooloongabba branch railway line
railwayline_left,title,uetliberg railway line,railwayline_left,title,uetliberg railway line
railwayline_left,title,"line 4, wuhan metro",railwayline_left,title,"line 4, wuhan metro"
railwayline_left,title,lansalson branch line,railwayline_left,title,lansalson branch line
railwayline_left,title,inter-terminal train (george bush intercontinental airport),railwayline_left,title,inter-terminal train (george bush intercontinental airport)
railwayline_left,title,septa route 10,railwayline_left,title,septa route 10
railwayline_left,title,waverley line,railwayline_left,title,waverley line
railwayline_left,title,weddel loop,railwayline_left,title,weddel loop
railwayline_left,title,line s8 (milan suburban railway service),railwayline_left,title,line s8 (milan suburban railway service)
railwayline_left,title,meilin line,railwayline_left,title,meilin line
railwayline_left,title,donghae bukbu line,railwayline_left,title,donghae bukbu line
railwayline_left,title,northport branch,railwayline_left,title,northport branch
railwayline_left,title,gyeongchun line,railwayline_left,title,gyeongchun line
railwayline_left,title,lycabettus funicular,railwayline_left,title,lycabettus funicular
railwayline_left,title,meitetsu toyokawa line,railwayline_left,title,meitetsu toyokawa line
railwayline_left,title,"line 10, shanghai metro",railwayline_left,title,"line 10, shanghai metro"
railwayline_left,title,cambridge branch,railwayline_left,title,cambridge branch
railwayline_left,title,irt lenox avenue line,railwayline_left,title,irt lenox avenue line
railwayline_left,title,daegu metro line 2,railwayline_left,title,daegu metro line 2
nationalfootballleagueseason_left,title,1968 calgary stampeders season,nationalfootballleagueseason_left,title,1968 calgary stampeders season
nationalfootballleagueseason_left,title,1967 oakland raiders season,nationalfootballleagueseason_left,title,1967 oakland raiders season
nationalfootballleagueseason_left,title,2008 montreal alouettes season,nationalfootballleagueseason_left,title,2008 montreal alouettes season
nationalfootballleagueseason_left,title,1986 dallas cowboys season,nationalfootballleagueseason_left,title,1986 dallas cowboys season
nationalfootballleagueseason_left,title,2007 grand rapids rampage season,nationalfootballleagueseason_left,title,2007 grand rapids rampage season
nationalfootballleagueseason_left,title,2010 atlanta falcons season,nationalfootballleagueseason_left,title,2010 atlanta falcons season
nationalfootballleagueseason_left,title,2008 houston texans season,nationalfootballleagueseason_left,title,2008 houston texans season
nationalfootballleagueseason_left,title,1991 detroit lions season,nationalfootballleagueseason_left,title,1991 detroit lions season
nationalfootballleagueseason_left,title,1897 latrobe athletic association season,nationalfootballleagueseason_left,title,1897 latrobe athletic association season
nationalfootballleagueseason_left,title,2011 dallas vigilantes season,nationalfootballleagueseason_left,title,2011 dallas vigilantes season
nationalfootballleagueseason_left,title,2012 saginaw sting season,nationalfootballleagueseason_left,title,2012 saginaw sting season
nationalfootballleagueseason_left,title,2013 jacksonville jaguars season,nationalfootballleagueseason_left,title,2013 jacksonville jaguars season
nationalfootballleagueseason_left,title,1968 new york jets season,nationalfootballleagueseason_left,title,1968 new york jets season
nationalfootballleagueseason_left,title,2007 dallas desperados season,nationalfootballleagueseason_left,title,2007 dallas desperados season
nationalfootballleagueseason_left,title,2007 dallas cowboys season,nationalfootballleagueseason_left,title,2007 dallas cowboys season
nationalfootballleagueseason_left,title,2007 minnesota vikings season,nationalfootballleagueseason_left,title,2007 minnesota vikings season
nationalfootballleagueseason_left,title,2010 st. louis rams season,nationalfootballleagueseason_left,title,2010 st. louis rams season
nationalfootballleagueseason_left,title,2012 arizona rattlers season,nationalfootballleagueseason_left,title,2012 arizona rattlers season
nationalfootballleagueseason_left,title,1986 pittsburgh steelers season,nationalfootballleagueseason_left,title,1986 pittsburgh steelers season
nationalfootballleagueseason_left,title,2008 arizona cardinals season,nationalfootballleagueseason_left,title,2008 arizona cardinals season
nationalfootballleagueseason_left,title,2001 kansas city chiefs season,nationalfootballleagueseason_left,title,2001 kansas city chiefs season
nationalfootballleagueseason_left,title,2005 rhein fire season,nationalfootballleagueseason_left,title,2005 rhein fire season
nationalfootballleagueseason_left,title,1991 new york jets season,nationalfootballleagueseason_left,title,1991 new york jets season
nationalfootballleagueseason_left,title,1915 toronto argonauts season,nationalfootballleagueseason_left,title,1915 toronto argonauts season
nationalfootballleagueseason_left,title,2009 san diego chargers season,nationalfootballleagueseason_left,title,2009 san diego chargers season
nationalfootballleagueseason_left,title,1956 calgary stampeders season,nationalfootballleagueseason_left,title,1956 calgary stampeders season
nationalfootballleagueseason_left,title,2008 dallas desperados season,nationalfootballleagueseason_left,title,2008 dallas desperados season
nationalfootballleagueseason_left,title,2002 tampa bay buccaneers season,nationalfootballleagueseason_left,title,2002 tampa bay buccaneers season
nationalfootballleagueseason_left,title,2009 las vegas locomotives season,nationalfootballleagueseason_left,title,2009 las vegas locomotives season
nationalfootballleagueseason_left,title,2009 california redwoods season,nationalfootballleagueseason_left,title,2009 california redwoods season
nationalfootballleagueseason_left,title,1988 seattle seahawks season,nationalfootballleagueseason_left,title,1988 seattle seahawks season
nationalfootballleagueseason_left,title,2012 san antonio talons season,nationalfootballleagueseason_left,title,2012 san antonio talons season
nationalfootballleagueseason_left,title,1910 columbus panhandles season,nationalfootballleagueseason_left,title,1910 columbus panhandles season
nationalfootballleagueseason_left,title,1922 columbus panhandles season,nationalfootballleagueseason_left,title,1922 columbus panhandles season
nationalfootballleagueseason_left,title,2003 edmonton eskimos season,nationalfootballleagueseason_left,title,2003 edmonton eskimos season
nationalfootballleagueseason_left,title,2012 st. louis rams season,nationalfootballleagueseason_left,title,2012 st. louis rams season
nationalfootballleagueseason_left,title,2012 cincinnati bengals season,nationalfootballleagueseason_left,title,2012 cincinnati bengals season
nationalfootballleagueseason_left,title,2005 cologne centurions season,nationalfootballleagueseason_left,title,2005 cologne centurions season
nationalfootballleagueseason_left,title,2011 new orleans saints season,nationalfootballleagueseason_left,title,2011 new orleans saints season
nationalfootballleagueseason_left,title,2005 toronto argonauts season,nationalfootballleagueseason_left,title,2005 toronto argonauts season
nationalfootballleagueseason_left,title,1960 edmonton eskimos season,nationalfootballleagueseason_left,title,1960 edmonton eskimos season
nationalfootballleagueseason_left,title,2010 montreal alouettes season,nationalfootballleagueseason_left,title,2010 montreal alouettes season
nationalfootballleagueseason_left,title,2002 houston texans season,nationalfootballleagueseason_left,title,2002 houston texans season
nationalfootballleagueseason_left,title,1992 dallas cowboys season,nationalfootballleagueseason_left,title,1992 dallas cowboys season
nationalfootballleagueseason_left,title,1950 chicago bears season,nationalfootballleagueseason_left,title,1950 chicago bears season
nationalfootballleagueseason_left,title,2006 montreal alouettes season,nationalfootballleagueseason_left,title,2006 montreal alouettes season
nationalfootballleagueseason_left,title,2010 jacksonville jaguars season,nationalfootballleagueseason_left,title,2010 jacksonville jaguars season
nationalfootballleagueseason_left,title,1981 cleveland browns season,nationalfootballleagueseason_left,title,1981 cleveland browns season
nationalfootballleagueseason_left,title,2008 arkansas twisters season,nationalfootballleagueseason_left,title,2008 arkansas twisters season
nationalfootballleagueseason_left,title,1983 pittsburgh steelers season,nationalfootballleagueseason_left,title,1983 pittsburgh steelers season
footballleagueseason_left,title,1986 dallas cowboys season,footballleagueseason_left,title,1986 dallas cowboys season
footballleagueseason_left,title,2008 npsl season,footballleagueseason_left,title,2008 npsl season
footballleagueseason_left,title,2013 chicago rush season,footballleagueseason_left,title,2013 chicago rush season
footballleagueseason_left,title,1897 latrobe athletic association season,footballleagueseason_left,title,1897 latrobe athletic association season
footballleagueseason_left,title,1976 1. deild,footballleagueseason_left,title,1976 1. deild
footballleagueseason_left,title,2013 tampa bay buccaneers season,footballleagueseason_left,title,2013 tampa bay buccaneers season
footballleagueseason_left,title,2010 toppserien,footballleagueseason_left,title,2010 toppserien
footballleagueseason_left,title,1985 detroit lions season,footballleagueseason_left,title,1985 detroit lions season
footballleagueseason_left,title,2010 chinese super league,footballleagueseason_left,title,2010 chinese super league
footballleagueseason_left,title,2008 new york jets season,footballleagueseason_left,title,2008 new york jets season
footballleagueseason_left,title,2006 montreal alouettes season,footballleagueseason_left,title,2006 montreal alouettes season
footballleagueseason_left,title,2002 veikkausliiga,footballleagueseason_left,title,2002 veikkausliiga
footballleagueseason_left,title,1969 mestaruussarja,footballleagueseason_left,title,1969 mestaruussarja
footballleagueseason_left,title,2012 fa wsl,footballleagueseason_left,title,2012 fa wsl
footballleagueseason_left,title,2010 united soccer leagues,footballleagueseason_left,title,2010 united soccer leagues
footballleagueseason_left,title,2012 colonial athletic association men's soccer season,footballleagueseason_left,title,2012 colonial athletic association men's soccer season
footballleagueseason_left,title,2009 k-league,footballleagueseason_left,title,2009 k-league
footballleagueseason_left,title,2004 cologne centurions season,footballleagueseason_left,title,2004 cologne centurions season
footballleagueseason_left,title,2008 baltimore ravens season,footballleagueseason_left,title,2008 baltimore ravens season
footballleagueseason_left,title,2000 l. league,footballleagueseason_left,title,2000 l. league
footballleagueseason_left,title,2005 esiliiga,footballleagueseason_left,title,2005 esiliiga
footballleagueseason_left,title,2013 pacific-12 conference men's soccer season,footballleagueseason_left,title,2013 pacific-12 conference men's soccer season
footballleagueseason_left,title,1988 detroit drive season,footballleagueseason_left,title,1988 detroit drive season
footballleagueseason_left,title,2007 torneo descentralizado,footballleagueseason_left,title,2007 torneo descentralizado
footballleagueseason_left,title,1958 ddr-oberliga,footballleagueseason_left,title,1958 ddr-oberliga
footballleagueseason_left,title,2003 meistriliiga,footballleagueseason_left,title,2003 meistriliiga
footballleagueseason_left,title,1947 mestaruussarja,footballleagueseason_left,title,1947 mestaruussarja
footballleagueseason_left,title,2004 toronto argonauts season,footballleagueseason_left,title,2004 toronto argonauts season
footballleagueseason_left,title,2010 s.league,footballleagueseason_left,title,2010 s.league
footballleagueseason_left,title,2012 toronto argonauts season,footballleagueseason_left,title,2012 toronto argonauts season
footballleagueseason_left,title,2005 toronto argonauts season,footballleagueseason_left,title,2005 toronto argonauts season
footballleagueseason_left,title,chinese jia-a league 2002,footballleagueseason_left,title,chinese jia-a league 2002
footballleagueseason_left,title,1988 minnesota vikings season,footballleagueseason_left,title,1988 minnesota vikings season
footballleagueseason_left,title,1992 minnesota vikings season,footballleagueseason_left,title,1992 minnesota vikings season
footballleagueseason_left,title,2003 toronto argonauts season,footballleagueseason_left,title,2003 toronto argonauts season
footballleagueseason_left,title,1975 cleveland browns season,footballleagueseason_left,title,1975 cleveland browns season
footballleagueseason_left,title,1954 divizia a,footballleagueseason_left,title,1954 divizia a
footballleagueseason_left,title,1965 detroit lions season,footballleagueseason_left,title,1965 detroit lions season
footballleagueseason_left,title,1992 philadelphia eagles season,footballleagueseason_left,title,1992 philadelphia eagles season
footballleagueseason_left,title,2013 k league challenge,footballleagueseason_left,title,2013 k league challenge
footballleagueseason_left,title,2001 superettan,footballleagueseason_left,title,2001 superettan
footballleagueseason_left,title,1955 mestaruussarja,footballleagueseason_left,title,1955 mestaruussarja
footballleagueseason_left,title,2012 allsvenskan,footballleagueseason_left,title,2012 allsvenskan
footballleagueseason_left,title,1977 toronto argonauts season,footballleagueseason_left,title,1977 toronto argonauts season
footballleagueseason_left,title,2006 philadelphia eagles season,footballleagueseason_left,title,2006 philadelphia eagles season
footballleagueseason_left,title,2011 pittsburgh power season,footballleagueseason_left,title,2011 pittsburgh power season
footballleagueseason_left,title,1963 kansas city chiefs season,footballleagueseason_left,title,1963 kansas city chiefs season
footballleagueseason_left,title,1960 ddr-oberliga,footballleagueseason_left,title,1960 ddr-oberliga
footballleagueseason_left,title,2013 sioux falls storm season,footballleagueseason_left,title,2013 sioux falls storm season
footballleagueseason_left,title,2006 pittsburgh steelers season,footballleagueseason_left,title,2006 pittsburgh steelers season
tennistournament_left,title,2011 commonwealth bank tournament of champions,tennistournament_left,title,2011 commonwealth bank tournament of champions
tennistournament_left,title,2012 geneva open challenger,tennistournament_left,title,2012 geneva open challenger
tennistournament_left,title,2011 regions morgan keegan championships and the cellular south cup,tennistournament_left,title,2011 regions morgan keegan championships and the cellular south cup
tennistournament_left,title,2012 copa sevilla,tennistournament_left,title,2012 copa sevilla
tennistournament_left,title,2010 levene gouldin & thompson tennis challenger,tennistournament_left,title,2010 levene gouldin & thompson tennis challenger
tennistournament_left,title,2010 pekao szczecin open,tennistournament_left,title,2010 pekao szczecin open
tennistournament_left,title,2012 gerry weber open,tennistournament_left,title,2012 gerry weber open
tennistournament_left,title,2009 oberstaufen cup,tennistournament_left,title,2009 oberstaufen cup
tennistournament_left,title,2011 aegon classic,tennistournament_left,title,2011 aegon classic
tennistournament_left,title,1990 ebel u.s. pro indoor,tennistournament_left,title,1990 ebel u.s. pro indoor
tennistournament_left,title,2002 us open (tennis),tennistournament_left,title,2002 us open (tennis)
tennistournament_left,title,2012 john newcombe women's pro challenge,tennistournament_left,title,2012 john newcombe women's pro challenge
tennistournament_left,title,2008 australian open,tennistournament_left,title,2008 australian open
tennistournament_left,title,2012 proton malaysian open,tennistournament_left,title,2012 proton malaysian open
tennistournament_left,title,2008 fifth third bank tennis championships,tennistournament_left,title,2008 fifth third bank tennis championships
tennistournament_left,title,1993 newsweek champions cup and the matrix essentials evert cup,tennistournament_left,title,1993 newsweek champions cup and the matrix essentials evert cup
tennistournament_left,title,2009 almaty cup,tennistournament_left,title,2009 almaty cup
tennistournament_left,title,2010 atp challenger trophy,tennistournament_left,title,2010 atp challenger trophy
tennistournament_left,title,2010 penza cup,tennistournament_left,title,2010 penza cup
tennistournament_left,title,2012 quito challenger,tennistournament_left,title,2012 quito challenger
tennistournament_left,title,2010 aberto de bahia,tennistournament_left,title,2010 aberto de bahia
tennistournament_left,title,2006 rogers cup,tennistournament_left,title,2006 rogers cup
tennistournament_left,title,1990 skydome world tennis tournament,tennistournament_left,title,1990 skydome world tennis tournament
tennistournament_left,title,2010 samarkand challenger,tennistournament_left,title,2010 samarkand challenger
tennistournament_left,title,1989 hall of fame tennis championships and the virginia slims of newport,tennistournament_left,title,1989 hall of fame tennis championships and the virginia slims of newport
tennistournament_left,title,2010 aon open challenger,tennistournament_left,title,2010 aon open challenger
tennistournament_left,title,2008 regions morgan keegan championships and the cellular south cup,tennistournament_left,title,2008 regions morgan keegan championships and the cellular south cup
tennistournament_left,title,1998 bell challenge,tennistournament_left,title,1998 bell challenge
tennistournament_left,title,2011 sparta prague open,tennistournament_left,title,2011 sparta prague open
tennistournament_left,title,2012 open gdf suez de marseille,tennistournament_left,title,2012 open gdf suez de marseille
tennistournament_left,title,2009 aon open challenger,tennistournament_left,title,2009 aon open challenger
tennistournament_left,title,2012 empire trnava cup,tennistournament_left,title,2012 empire trnava cup
tennistournament_left,title,2012 mutua madrid open,tennistournament_left,title,2012 mutua madrid open
tennistournament_left,title,2011 abn amro world tennis tournament,tennistournament_left,title,2011 abn amro world tennis tournament
tennistournament_left,title,2012 open de rennes,tennistournament_left,title,2012 open de rennes
tennistournament_left,title,2009 riviera di rimini challenger,tennistournament_left,title,2009 riviera di rimini challenger
tennistournament_left,title,2001 hopman cup,tennistournament_left,title,2001 hopman cup
tennistournament_left,title,2009 rijeka open,tennistournament_left,title,2009 rijeka open
tennistournament_left,title,1990 norstar bank hamlet challenge cup,tennistournament_left,title,1990 norstar bank hamlet challenge cup
tennistournament_left,title,2003 hopman cup,tennistournament_left,title,2003 hopman cup
tennistournament_left,title,1997 bell challenge,tennistournament_left,title,1997 bell challenge
tennistournament_left,title,2009 zucchetti kos tennis cup,tennistournament_left,title,2009 zucchetti kos tennis cup
tennistournament_left,title,2010 nord lb open,tennistournament_left,title,2010 nord lb open
tennistournament_left,title,2010 international german open,tennistournament_left,title,2010 international german open
tennistournament_left,title,1997 newsweek champions cup and the state farm evert cup,tennistournament_left,title,1997 newsweek champions cup and the state farm evert cup
tennistournament_left,title,2008 pacific life open,tennistournament_left,title,2008 pacific life open
tennistournament_left,title,2011 ankara cup,tennistournament_left,title,2011 ankara cup
tennistournament_left,title,2011 smart card open monet+,tennistournament_left,title,2011 smart card open monet+
tennistournament_left,title,2011 gastein ladies,tennistournament_left,title,2011 gastein ladies
tennistournament_left,title,2012 ningbo challenger,tennistournament_left,title,2012 ningbo challenger
unitofwork_left,title,forest grove school district v. t. a.,case_right,title,forest grove school district v. t.a.
unitofwork_left,title,florida v. j. l.,case_right,title,florida v. j.l.
unitofwork_left,title,ex parte bain,case_right,title,ex parte bain
unitofwork_left,title,baldwin v. fish and game commission of montana,case_right,title,baldwin v. fish & game commission of montana
unitofwork_left,title,"hurley v. irish-american gay, lesbian, and bisexual group of boston",case_right,title,"hurley v. irish-american gay, lesbian, & bisexual group of boston"
unitofwork_left,title,arkansas game and fish commission v. united states,case_right,title,arkansas game & fish commission v. united states
unitofwork_left,title,"department of treasury, bureau of alcohol, tobacco and firearms v. galioto",case_right,title,"department of treasury, bureau of alcohol, tobacco & firearms v. galioto"
unitofwork_left,title,takahashi v. fish and game commission,case_right,title,takahashi v. fish & game commission
unitofwork_left,title,capitol square review and advisory board v. pinette,case_right,title,capitol square review & advisory board v. pinette
unitofwork_left,title,"wabash, st. louis & pacific railway company v. illinois",case_right,title,"wabash, st. louis & pacific railway co. v. illinois"
unitofwork_left,title,northern insurance company of new york v. chatham county,case_right,title,northern insurance co. of new york v. chatham county
unitofwork_left,title,geier v. american honda motor company,case_right,title,geier v. american honda motor co.
unitofwork_left,title,national railroad passenger corporation v. boston & maine corp.,case_right,title,national railroad passenger corp. v. boston & maine corp.
unitofwork_left,title,"joseph burstyn, inc v. wilson",case_right,title,"joseph burstyn, inc. v. wilson"
unitofwork_left,title,mutual film corporation v. industrial commission of ohio,case_right,title,mutual film corp. v. industrial commission of ohio
unitofwork_left,title,united states v. indianapolis & st. louis railroad company,case_right,title,united states v. indianapolis & st. louis railroad co.
unitofwork_left,title,oregon dept. of fish and wildlife v. klamath indian tribe,case_right,title,oregon department of fish & wildlife v. klamath indian tribe
unitofwork_left,title,espinoza v. farah manufacturing company,case_right,title,espinoza v. farah manufacturing co.
unitofwork_left,title,berwind-white coal mining company v. chicago and erie railroad company,case_right,title,berwind-white coal mining co. v. chicago & erie railroad co.
unitofwork_left,title,city of walla walla v. walla walla water company,case_right,title,city of walla walla v. walla walla water co.
unitofwork_left,title,southern pacific company v. arizona,case_right,title,southern pacific company v. state of arizona
unitofwork_left,title,edmonson v. leesville concrete company,case_right,title,edmonson v. leesville concrete co.
unitofwork_left,title,baylis v. travelers' insurance company,case_right,title,baylis v. travelers' insurance co.
unitofwork_left,title,simon & schuster v. crime victims board,case_right,title,"simon & schuster, inc. v. crime victims board"
unitofwork_left,title,beech aircraft corporation v. rainey,case_right,title,beech aircraft corp. v. rainey
unitofwork_left,title,carter v. carter coal company,case_right,title,carter v. carter coal co.
unitofwork_left,title,"greenbelt cooperative publishing association, inc. v. bresler",case_right,title,"greenbelt cooperative publishing ass'n, inc. v. bresler"
unitofwork_left,title,marquette nat. bank of minneapolis v. first of omaha service corp.,case_right,title,marquette national bank of minneapolis v. first of omaha service corp.
unitofwork_left,title,weaver v. palmer brothers company,case_right,title,weaver v. palmer brothers co.
unitofwork_left,title,fox film corporation v. muller,case_right,title,fox film corp. v. muller
unitofwork_left,title,united states civil service commission v. national association of letter carriers,case_right,title,united states civil service commission v. national ass'n of letter carriers
unitofwork_left,title,connecticut general life insurance company v. johnson,case_right,title,connecticut general life insurance co. v. johnson
unitofwork_left,title,santa clara county v. southern pacific railroad,case_right,title,santa clara county v. southern pacific railroad co.
unitofwork_left,title,minneapolis star tribune company v. commissioner,case_right,title,minneapolis star tribune co. v. commissioner
unitofwork_left,title,"california retail liquor dealers association v. midcal aluminum, inc.",case_right,title,"california retail liquor dealers ass'n v. midcal aluminum, inc."
unitofwork_left,title,norton v. s. utah wilderness alliance,case_right,title,norton v. southern utah wilderness alliance
unitofwork_left,title,philip morris usa v. williams,case_right,title,philip morris usa inc. v. williams
unitofwork_left,title,"verizon communications v. law offices of curtis v. trinko, llp",case_right,title,"verizon communications inc. v. law offices of curtis v. trinko, llp"
unitofwork_left,title,united states v. thompson-center arms company,case_right,title,united states v. thompson-center arms co.
unitofwork_left,title,addyston pipe and steel company v. united states,case_right,title,addyston pipe & steel co. v. united states
unitofwork_left,title,"cooper industries v. leatherman tool group, inc.",case_right,title,"cooper industries, inc. v. leatherman tool group, inc."
unitofwork_left,title,taylor v. standard gas and electric company,case_right,title,taylor v. standard gas & electric co.
unitofwork_left,title,stanton v. baltic mining company,case_right,title,stanton v. baltic mining co.
unitofwork_left,title,chicago life insurance company v. needles,case_right,title,chicago life insurance co. v. needles
unitofwork_left,title,pacific gas & electric v. public utilities commission,case_right,title,pacific gas & electric co. v. public utilities commission
unitofwork_left,title,northern pipeline construction company v. marathon pipe line company,case_right,title,northern pipeline construction co. v. marathon pipe line co.
unitofwork_left,title,"sinochem international co., ltd. v. malaysia international shipping corporation",case_right,title,sinochem international co. v. malaysia international shipping corp.
unitofwork_left,title,lassiter v. northampton county board of elections,case_right,title,lassiter v. northampton county bd. of elections
unitofwork_left,title,thor power tool company v. commissioner,case_right,title,thor power tool co. v. commissioner
unitofwork_left,title,american insurance company v. 356 bales of cotton,case_right,title,american insurance co. v. 356 bales of cotton
drug_left,title,girisopam,drug_left,title,girisopam
drug_left,title,essentiale,drug_left,title,essentiale
drug_left,title,o-1057,drug_left,title,o-1057
drug_left,title,"brl-15,572",drug_left,title,"brl-15,572"
drug_left,title,jwh-398,drug_left,title,jwh-398
drug_left,title,tofisopam,drug_left,title,tofisopam
drug_left,title,erlizumab,drug_left,title,erlizumab
drug_left,title,ceftiofur,drug_left,title,ceftiofur
drug_left,title,aderbasib,drug_left,title,aderbasib
drug_left,title,etofibrate,drug_left,title,etofibrate
drug_left,title,phenibut,drug_left,title,phenibut
drug_left,title,noretynodrel,drug_left,title,noretynodrel
drug_left,title,raltitrexed,drug_left,title,raltitrexed
drug_left,title,kelatorphan,drug_left,title,kelatorphan
drug_left,title,difluprednate,drug_left,title,difluprednate
drug_left,title,selamectin,drug_left,title,selamectin
drug_left,title,pemtumomab,drug_left,title,pemtumomab
drug_left,title,sucralfate,drug_left,title,sucralfate
drug_left,title,zolmitriptan,drug_left,title,zolmitriptan
drug_left,title,raxibacumab,drug_left,title,raxibacumab
drug_left,title,clofedanol,drug_left,title,clofedanol
drug_left,title,almorexant,drug_left,title,almorexant
drug_left,title,minamestane,drug_left,title,minamestane
drug_left,title,ritipenem,drug_left,title,ritipenem
drug_left,title,detumomab,drug_left,title,detumomab
drug_left,title,methoxyflurane,drug_left,title,methoxyflurane
drug_left,title,bemegride,drug_left,title,bemegride
drug_left,title,sipuleucel-t,drug_left,title,sipuleucel-t
drug_left,title,belimumab,drug_left,title,belimumab
drug_left,title,clobenpropit,drug_left,title,clobenpropit
drug_left,title,fulvestrant,drug_left,title,fulvestrant
drug_left,title,acarbose,drug_left,title,acarbose
drug_left,title,ipriflavone,drug_left,title,ipriflavone
drug_left,title,methylenedioxycathinone,drug_left,title,methylenedioxycathinone
drug_left,title,aprotinin,drug_left,title,aprotinin
drug_left,title,ms-245,drug_left,title,ms-245
drug_left,title,bucindolol,drug_left,title,bucindolol
drug_left,title,bd1063,drug_left,title,bd1063
drug_left,title,snc-80,drug_left,title,snc-80
drug_left,title,drospirenone,drug_left,title,drospirenone
drug_left,title,u0126,drug_left,title,u0126
drug_left,title,robatumumab,drug_left,title,robatumumab
drug_left,title,bnc210,drug_left,title,bnc210
drug_left,title,ensaculin,drug_left,title,ensaculin
drug_left,title,mofebutazone,drug_left,title,mofebutazone
drug_left,title,tulobuterol,drug_left,title,tulobuterol
drug_left,title,tafluprost,drug_left,title,tafluprost
drug_left,title,ethyl glucuronide,drug_left,title,ethyl glucuronide
drug_left,title,hydrocortisone buteprate,drug_left,title,hydrocortisone buteprate
drug_left,title,mannosulfan,drug_left,title,mannosulfan
politicalparty_left,title,new zealand labour party,election_left,title,"new zealand labour party leadership election, 2011"
politicalparty_left,title,scottish conservative party,election_left,title,"scottish conservative party leadership election, 2011"
politicalparty_left,title,liberal party of australia,election_left,title,"liberal party of australia leadership spill, 2008"
museum_left,title,national jazz museum in harlem,museum_right,title,national jazz museum in harlem
museum_left,title,mumok,museum_right,title,mumok
museum_left,title,stibbert museum,museum_right,title,stibbert museum
museum_left,title,lobkowicz palace,museum_right,title,lobkowicz palace
museum_left,title,railway museum (belgrade),museum_right,title,"railway museum, belgrade"
museum_left,title,museum of aviation (belgrade),museum_right,title,"museum of aviation, belgrade"
museum_left,title,the history museum at the castle,museum_right,title,history museum at the castle
museum_left,title,museum of applied arts (belgrade),museum_right,title,"museum of applied arts, belgrade"
museum_left,title,museum of contemporary art (belgrade),museum_right,title,"museum of contemporary art, belgrade"
museum_left,title,public museum of grand rapids,museum_right,title,grand rapids public museum
museum_left,title,marconi national historic sites of canada,museum_right,title,marconi national historic site of canada
museum_left,title,museum of john paul ii collection,museum_right,title,john paul ii collection museum
museum_left,title,bailey-matthews shell museum,museum_right,title,bailey-matthews national shell museum
museum_left,title,david collection,museum_right,title,the david collection
museum_left,title,national museum soares dos reis,museum_right,title,soares dos reis national museum
museum_left,title,azerbaijan state museum of history,museum_right,title,national museum of history of azerbaijan
museum_left,title,national world war i museum,museum_right,title,national world war i museum and memorial
museum_left,title,national yiddish book center,museum_right,title,yiddish book center
museum_left,title,pulitzer foundation for the arts,museum_right,title,pulitzer arts foundation
museum_left,title,western canada aviation museum,museum_right,title,royal aviation museum of western canada
museum_left,title,"steamtown, peterborough railway preservation society inc.",museum_right,title,steamtown peterborough railway preservation society
museum_left,title,army quartermaster museum,museum_right,title,u.s. army quartermaster museum
museum_left,title,holburne museum of art,museum_right,title,holburne museum
museum_left,title,the dallas contemporary,museum_right,title,dallas contemporary
museum_left,title,roman museum,museum_right,title,national roman museum
