title
Geoff Ryman
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Dan Simmons
Dan Simmons
Steven Brust
Steven Brust
Timothy Zahn
Timothy Zahn
Timothy Zahn
Timothy Zahn
Timothy Zahn
Timothy Zahn
Timothy Zahn
Timothy Zahn
Timothy Zahn
Timothy Zahn
Timothy Zahn
Timothy Zahn
Timothy Zahn
Timothy Zahn
Kristine Kathryn Rusch
Kim Stanley Robinson
Robert Reed
Bill Ransom
Irene Radford
Terry Pratchett
Terry Pratchett
Terry Pratchett
Terry Pratchett
Charles Platt
Richard Peck
Diana L. Paxson
Charles Oberndorf
Patrick O'Leary
Patrick O'Leary
Kim Newman
Jamil Nasir
Linda Nagata
Christopher Moore
Michael Moorcock
Thomas F. Monteleone
Brent Monahan
Dennis L. McKiernan
Ian McDonald
Julian May
Lisa Mason
Simon Maginn
Amin Maalouf
Brian Lumley
Brian Lumley
Brian Lumley
Brian Lumley
Brian Lumley
Brian Lumley
Holly Lisle
Jane Lindskold
Jane Lindskold
Shariann Lewitt
Jonathan Lethem
Tanith Lee
Marc Laidlaw
Mercedes Lackey
Mercedes Lackey
Katherine Kurtz
Michael P. Kube-McDowell
Nancy Kress
Katharine Eliska Kimbriel
Patricia Kennealy-Morrison
Michael Kandel
J. V. Jones
Gwyneth Jones
Diana Wynne Jones
Alexander Jablokov
James P. Hogan
Nina Kiriki Hoffman
Robin Hobb
Robin Hobb
Anne Harris
Tara K. Harper
Brooks Hansen
Karen Haber
Colin Greenland
Colin Greenland
Terence M. Green
Steven Gould
Kathleen Ann Goonan
Terry Goodkind
Lisa Goldstein
William Golding
Parke Godwin
David Gemmell
Craig Shaw Gardner
Craig Shaw Gardner
Craig Shaw Gardner
Maggie Furey
Robert Frezza
Ellen Foxxe
Alan Dean Foster
Elizabeth Forrest
Raymond E. Feist
Raymond E. Feist
Raymond E. Feist
David Feintuch
Dave Duncan
Dave Duncan
L. Warren Douglas
Stephen R. Donaldson
Gordon R. Dickson
Gordon R. Dickson
Emily Devenport
Jack Dann
Jack Dann
Michael Crichton
Alfred Coppel
Louise Cooper
Glen Cook
Allan Cole
C. J. Cherryh
Richard Calder
Jack Cady
Chris Bunch
Lois McMaster Bujold
Steven Brust
Terry Brooks
Marion Zimmer Bradley
Ben Bova
James P. Blaylock
Terry Bisson
Bruce Bethke
Gregory Benford
Gaèl Baudino?Gael Baudino
Gaèl Baudino?Gael Baudino
Gaèl Baudino?Gael Baudino
John Barnes
Margaret Ball
Wilhelmina Baird
Pauline Ashwell
Kim Antieau
Patricia Anthony
Poul Anderson
Kevin J. Anderson
Douglas Adams
Esther M. Friesner
Barbara Hambly
A. A. Attanasio
A. A. Attanasio
A. A. Attanasio
Milton Lesser
Milton Lesser
Milton Lesser
Milton Lesser
Milton Lesser
Alice Hoffman
Tim Powers
Yvonne Navarro
R. L. Stine
Stephen Baxter
Stephen Baxter
Stephen Baxter
Stephen Baxter
Walter Jon Williams
C. J. Cherryh
C. J. Cherryh
C. J. Cherryh
C. J. Cherryh
C. J. Cherryh
C. J. Cherryh
C. J. Cherryh
C. J. Cherryh
Poul Anderson
Poul Anderson
Poul Anderson
Poul Anderson
Poul Anderson
Poul Anderson
Poul Anderson
Poul Anderson
Poul Anderson
Poul Anderson
Michael Shea
Michael Shea
Jack Finney
Jack Finney
Jack Finney
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
Ben Bova
David Gerrold
David Gerrold
M. Shayne Bell
Ursula K. Le Guin
Ursula K. Le Guin
Joe Haldeman
Joe Haldeman
Joe Haldeman
David Gerrold
David Gerrold
David Gerrold
David Gerrold
David Gerrold
David Gerrold
David Gerrold
David Brin
Orson Scott Card
Orson Scott Card
Orson Scott Card
Orson Scott Card
Kim Newman
Kim Newman
Kim Newman
Anne Rice
Anne Rice
Anne Rice
Anne Rice
Anne Rice
Anne Rice
Anne Rice
Diane Duane
James Gunn
Diane Duane
Diane Duane
Diane Duane
Diane Duane
Diane Duane
Diane Duane
David Bischoff
David Bischoff
David Bischoff
David Bischoff
David Bischoff
David Bischoff
David Bischoff
David Bischoff
David Bischoff
David Bischoff
Charles Sheffield
Charles Sheffield
Charles Sheffield
Stephen King
Stephen King
Stephen King
Stephen King
Stephen King
Greg Bear
Greg Bear
Greg Bear
Doug Beason
Doug Beason
Kevin J. Anderson
Kevin J. Anderson
Kevin J. Anderson
Kevin J. Anderson
Kevin J. Anderson
Kevin J. Anderson
Olaf Stapledon
Olaf Stapledon
Olaf Stapledon
Olaf Stapledon
Olaf Stapledon
Olaf Stapledon
Olaf Stapledon
Olaf Stapledon
Olaf Stapledon
Olaf Stapledon
Elisabeth Waters
K. D. Wentworth
J. R. Dunn
Wil McCarthy
Denise Lopes Heald
Valerie J. Freireich
Jane Lindskold
F. Gwynplaine MacIntyre
Maggie Furey
Terry Goodkind
David Feintuch
David Feintuch
Carolyn Cushman
Kathleen Ann Goonan
Terry Bisson
Greg Egan
Greg Egan
Michael Flynn
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
Mike Resnick
James Morrow
James Morrow
John Barnes
John Barnes
John Barnes
Michael Bishop
Michael Bishop
Nancy Kress
Nancy Kress
Nancy Kress
Nancy Kress
Steven R. Boyett
David Drake
David Drake
David Drake
David Drake
David Drake
David Drake
David Drake
Judith Tarr
Kathe Koja
Walter Jon Williams
Walter Jon Williams
Walter Jon Williams
Walter Jon Williams
F. Paul Wilson
Gene Wolfe
Gene Wolfe
Gene Wolfe
Gene Wolfe
Gene Wolfe
Chelsea Quinn Yarbro
Robert R. McCammon
Robert R. McCammon
Robert R. McCammon
Robert R. McCammon
Robert R. McCammon
Robert R. McCammon
Robert R. McCammon
Dennis Danvers
Philip Nutman
Ashley McConnell
Jean Paiva
Wayne Allen Sallee
Tony Richards
Tom Elliott
Jay R. Bonansinga
Anne Billson
Rex Miller
Kevin J. Anderson
T. Chris Martindale
Nancy Kilpatrick
Gary Raisor
Dean Wesley Smith
Douglas Clegg
John L. Byrne
Steve Rasnic Tem
J. Michael Straczynski
Allen Lee Harris
Robert Devereaux
Robert Devereaux
Tom Piccirilli
Richard Christian Matheson
Michael Paine
Brian D'Amato
Yvonne Navarro
Roger Zelazny
Roger Zelazny
Roger Zelazny
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
L. Neil Smith
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Andrew J. Offutt
Allen Steele
Algis Budrys
Algis Budrys
Algis Budrys
Algis Budrys
Alfred Bester
Alexander Jablokov
Alan Rodgers
Alan Rodgers
Alan E. Nourse
Alan E. Nourse
Alan E. Nourse
Alan E. Nourse
Alan E. Nourse
Alan E. Nourse
Alan E. Nourse
Alan E. Nourse
Alan E. Nourse
Alan E. Nourse
Alan Brennert
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. Bertram Chandler
A. A. Attanasio
A. A. Attanasio
A. A. Attanasio
Connie Willis
Stephen King
Stephen King
Stephen King
Stephen King
Brian Stableford
David Gerrold
Steven Brust
Frederik Pohl
Wilson Tucker
Charles de Lint
Orson Scott Card
Michael Blumlein
A. A. Attanasio
Orson Scott Card
Terry Pratchett
Terry Pratchett
E. R. Eddison
E. R. Eddison
E. R. Eddison
E. R. Eddison
E. R. Eddison
Joe Haldeman
Keith Laumer
Keith Laumer
Keith Laumer
Keith Laumer
Joe Haldeman
Joe Haldeman
Joan D. Vinge
A. E. van Vogt
A. E. van Vogt
A. E. van Vogt
A. E. van Vogt
Frederik Pohl
Larry Niven
"Lloyd Biggle, Jr."
Robert Silverberg
Robert R. McCammon
K. W. Jeter
John Varley
S. P. Somtow
Megan Lindholm
L. Frank Baum
L. Frank Baum
L. Frank Baum
L. Frank Baum
L. Frank Baum
L. Frank Baum
L. Frank Baum
L. Frank Baum
L. Frank Baum
L. Frank Baum
L. Frank Baum
L. Frank Baum
L. Frank Baum
A. E. van Vogt
Vernor Vinge
Piers Anthony
Anne Rice
Barbara Hambly
Barbara Hambly
James H. Schmitz
Terry Pratchett
Terry Brooks
Elizabeth Hand
Elizabeth Hand
R. A. MacAvoy
Paul Hazel
Nancy Springer
Kenneth Grahame
James Patrick Kelly
James Patrick Kelly
James Patrick Kelly
Melanie Tem
Kim Stanley Robinson
Octavia E. Butler
Nancy A. Collins
Piers Anthony
Ian Watson
John Brunner
Algis Budrys
Tom Holt
Michael Bishop
Diana L. Paxson
Frank Herbert
Frank Herbert
Frank Herbert
Frank Herbert
Frank Herbert
Frank Herbert
Kristine Kathryn Rusch
Jane Yolen
D. M. Thomas
Anne McCaffrey
Kate Wilhelm
David Gerrold
George Alec Effinger
Fredric Brown
George Alec Effinger
Rudy Rucker
Brian Stableford
William Morris
William Morris
Kate Wilhelm
John M. Ford
Charles Sheffield
Clive Barker
A. E. van Vogt
A. E. van Vogt
Poul Anderson
Gordon R. Dickson
C. J. Cherryh
Richard Adams
Elizabeth A. Lynn
Geoff Ryman
Eric Frank Russell
Iain M. Banks
M. A. Foster
Lois McMaster Bujold
Karel Čapek?Karel CapekKarel Chapek
Karel Čapek?Karel CapekKarel Chapek
Karel Capek
Karel Čapek?Karel CapekKarel Chapek
H. G. Wells
Charles Williams
Emma Bull
Michael Moorcock
A. E. van Vogt
Manuel Mujica Láinez
Fritz Leiber
Iain M. Banks
Michaela Roessner
Suzy McKee Charnas
Suzy McKee Charnas
Jeff Noon
C. J. Cherryh
Terry Bisson
David Lindsay
David Lindsay
David Lindsay
David Lindsay
David Lindsay
C. S. Lewis
Lois McMaster Bujold
Norman Spinrad
Frederik Pohl
Walter Jon Williams
John Morressy
William Gibson
Avram Davidson
Pamela Sargent
Pamela Sargent
Theodore Sturgeon
Michaela Roessner
Suzy McKee Charnas
Anne Rice
S. P. Somtow
S. P. Somtow
S. P. Somtow
Robert Silverberg
Michael Swanwick
Philip K. Dick
Philip K. Dick
Iain M. Banks
Gene Wolfe
David Brin
"James Tiptree, Jr."
Robert Silverberg
Philip José Farmer
Rachel Pollack
J. G. Ballard
Michael Bishop
Michael Kurland
L. Sprague de Camp
Kem Nunn
Philip K. Dick
Philip K. Dick
Philip K. Dick
L. Ron Hubbard
Marion Zimmer Bradley
James P. Hogan
R. A. MacAvoy
Richard Cowper
Suzette Haden Elgin
Robert A. Heinlein
Harry Harrison
Roger Zelazny
John Wyndham
James Blish
Samuel R. Delany
C. J. Cherryh
Margaret Mahy
C. J. Cherryh
Orson Scott Card
Philip K. Dick
M. A. Foster
Michael Bishop
Terry Pratchett
Terry Pratchett
Terry Pratchett
Terry Pratchett
Terry Pratchett
Terry Pratchett
Terry Pratchett
James Morrow
Robert Silverberg
Steve Erickson
John Brunner
Mildred Downey Broxon
Lance Olsen
Stephen King
Robert Silverberg
Roger Zelazny
Philip José Farmer
Robert A. Heinlein
Steven Brust
Tad Williams
Roger Zelazny
Mervyn Peake
Mervyn Peake
Mervyn Peake
John Varley
Russell M. Griffin
Gregory Benford
John Brunner
Stephen Baxter
Chelsea Quinn Yarbro
Robert Silverberg
Alan Brennert
Clifford D. Simak
Gordon R. Dickson
Robert Sheckley
Robert A. Heinlein
C. S. Lewis
John Sladek
Guy Gavriel Kay
Gregory Benford
Richard Grant
Peter Straub
James P. Hogan
Philip K. Dick
Philip K. Dick
Poul Anderson
Nina Kiriki Hoffman
Barbara Hambly
Robert Silverberg
James Morrow
R. A. MacAvoy
Nancy Willard
Clive Barker
James Blish
Poul Anderson
Gene Wolfe
Marion Zimmer Bradley
Howard Waldrop
C. S. Lewis
Scott Russell Sanders
Jack Womack
Jack Womack
Ian McDonald
Chelsea Quinn Yarbro
Nancy A. Collins
Rachel Pollack
Harry Harrison
R. A. MacAvoy
Poul Anderson
Vernor Vinge
Lloyd Alexander
Steven Brust
Anne Rice
Terry Bisson
Jack McDevitt
Anne Rice
James H. Schmitz
Colin Greenland
Diana Wynne Jones
Gordon R. Dickson
Dean Ing
Dean Ing
Pat Cadigan
C. M. Kornbluth
Vercors
Glen Cook
Gene Wolfe
Richard A. Lupoff
Marta Randall
Terry Brooks
Leigh Brackett
Marion Zimmer Bradley
Evangeline Walton
T. H. White
Robert R. McCammon
Octavia E. Butler
Tom Godwin
Marion Zimmer Bradley
Vonda N. McIntyre
David Brin
Steven Brust
Bentley Little
Bentley Little
Charles Sheffield
Charles Sheffield
Charles Sheffield
Dan Simmons
Lisa Mason
Guy Gavriel Kay
Joan D. Vinge
Lisa Goldstein
Kelley Wilde
Paul Park
Diana Wynne Jones
Richard Paul Russo
Tim Powers
Gardner Dozois
Dean R. Koontz
Robert A. Heinlein
Patricia Geary
Lisa Goldstein
Barry Hughart
M. John Harrison
James P. Blaylock
James P. Blaylock
James P. Blaylock
James P. Blaylock
Robert Silverberg
Robert R. McCammon
Hal Clement
D. G. Compton
John Varley
Hilbert Schenck
Michael Swanwick
David Brin
Robert A. Heinlein
Gregory Benford
Samuel R. Delany
Poul Anderson
Alfred Bester
Alfred Bester
Isaac Asimov
Isaac Asimov
Robert A. Heinlein
Frederik Pohl
Robert Silverberg
Harry Harrison
Doris Piserchia
Doris Piserchia
Doris Piserchia
Doris Piserchia
Doris Piserchia
Doris Piserchia
Doris Piserchia
Doris Piserchia
Doris Piserchia
Doris Piserchia
Doris Piserchia
F. M. Busby
Olaf Stapledon
Hal Clement
Edmond Hamilton
Edmond Hamilton
Stephen Robinett
Poul Anderson
Stephen King
John Brunner
Harry Harrison
Harry Harrison
Harry Harrison
Harry Harrison
John Brunner
Piers Anthony
Lois McMaster Bujold
Piers Anthony
Orson Scott Card
K. W. Jeter
David Eddings
David Eddings
Patricia A. McKillip
Arthur C. Clarke
Norman Spinrad
Orson Scott Card
Sheri S. Tepper
Sheri S. Tepper
Sheri S. Tepper
Dan Simmons
Guy Gavriel Kay
Robert Silverberg
A. A. Attanasio
Gene Wolfe
Gene Wolfe
Stanislaw Lem
Rudy Rucker
Douglas Adams
Patricia C. Wrede
Joan D. Vinge
Neal Stephenson
Neal Stephenson
Neal Stephenson
Neal Stephenson
Larry Niven
Terry Pratchett
Rebecca Ore
Jonathan Carroll
L. Ron Hubbard
"Kurt Vonnegut, Jr."
"Kurt Vonnegut, Jr."
A. E. van Vogt
Edward E. Smith
Edward E. Smith
Edward E. Smith
Edward E. Smith
Edward E. Smith
Edward E. Smith
Edward E. Smith
Edward E. Smith
Edward E. Smith
Edward E. Smith
Jane Yolen
"Kurt Vonnegut, Jr."
Eric Frank Russell
Elizabeth Massie
Raymond E. Feist
Raymond E. Feist
John Myers Myers
Fritz Leiber
C. S. Lewis
J. R. R. Tolkien
Susan Shwartz
Charles Platt
William Goldman
Thomas Harris
Melissa Scott
Roger Zelazny
Roger Zelazny
Charles Sheffield
Charles Sheffield
Charles Sheffield
Sheri S. Tepper
Jack Vance
Jack Vance
Jack Vance
Jack Vance
John Brunner
G. C. Edmondson
Stephen King
John Brunner
Marion Zimmer Bradley
Marion Zimmer Bradley
Marion Zimmer Bradley
Lois McMaster Bujold
Robert Silverberg
Sheri S. Tepper
Judith Merril
Gene Wolfe
Raymond E. Feist
Robert Jordan
Peter Straub
Orson Scott Card
C. J. Cherryh
Greg Bear
Kate Wilhelm
Harry Harrison
Gerald Kersh
Michael Bishop
Robert Silverberg
James White
Ian McDonald
Raymond Harris
Bruce Sterling
Philip K. Dick
Joe R. Lansdale
Joe R. Lansdale
Joe R. Lansdale
Eden Phillpotts
Salman Rushdie
Elizabeth A. Lynn
Karen Joy Fowler
Richard Grant
Mike Resnick
Stephen King
Michael Cadnum
Katherine Kurtz
Michael Moorcock
Mercedes Lackey
Nancy Springer
Len Deighton
Norman Spinrad
C. J. Cherryh
Richard Grant
Christopher Fowler
Robert A. Heinlein
Algis Budrys
Avram Davidson
John Sladek
John Sladek
Isaac Asimov
Isaac Asimov
Roger Zelazny
Richard Cowper
S. P. Somtow
Alexei Panshin
Stephen Baxter
Stephen Baxter
Larry Niven
Larry Niven
Eleanor Arnason
Charles L. Harness
C. J. Cherryh
Russell Hoban
Patricia A. McKillip
Patricia A. McKillip
Patricia A. McKillip
Patricia A. McKillip
Stephan Grundy
Michael Moorcock
Melanie Tem
Bentley Little
Douglas Adams
Ken Grimwood
Anne McCaffrey
David Alexander Smith
D. Alexander Smith
D. Alexander Smith
David Alexander Smith
Arthur C. Clarke
Barry N. Malzberg
George Alec Effinger
Megan Lindholm
Megan Lindholm
Chet Williamson
Robert Silverberg
John E. Stith
Orson Scott Card
Robert A. Heinlein
Joy Chant
Kim Stanley Robinson
Lisa Goldstein
Paul J. McAuley
F. M. Busby
Terry Pratchett
Mary Gentle
R. A. MacAvoy
Jack Womack
Sheri S. Tepper
Barbara Hambly
E. L. Doctorow
E. L. Doctorow
Judith Moffett
Bob Shaw
A. A. Attanasio
Alexander Besher
Karel Čapek?Karel CapekKarel Chapek
Kim Newman
Michael P. Kube-McDowell
Katherine Kurtz
Thomas Burnett Swann
Melinda M. Snodgrass
Josephine Saxton
Anne Rice
Greg Bear
Robert A. Heinlein
James P. Hogan
Larry Niven
Ray Nelson
Clifford D. Simak
Melanie Tem
Gordon R. Dickson
George MacDonald
George MacDonald
Evangeline Walton
C. S. Lewis
Thomas M. Disch
C. J. Cherryh
Orson Scott Card
Isaac Asimov
Isaac Asimov
David Brin
Robert Nathan
Katharine Kerr
Marc Olden
John Brunner
Iain M. Banks
Orson Scott Card
Cordwainer Smith
Cordwainer Smith
Frederik Pohl
Keith Laumer
Sheri S. Tepper
Murray Leinster
Joanna Russ
Piers Anthony
Steve Szilagyi
Steven Brust
Steven Brust
Dan Simmons
Thomas Tessier
Charles L. Grant
Stephen King
Tanith Lee
Greg Egan
Greg Egan
Patrick Süskind?Patrick Sueskind
C. S. Lewis
Avram Davidson
Avram Davidson
Poul Anderson
Anne McCaffrey
Isaac Asimov
Gene Wolfe
Vernor Vinge
David Eddings
David Eddings
Keith Roberts
Octavia E. Butler
Paul J. McAuley
Octavia E. Butler
James P. Blaylock
C. J. Cherryh
Chelsea Quinn Yarbro
Kim Stanley Robinson
Gregory Feeley
Michael Paine
Jonathan Carroll
Joan D. Vinge
Ian McDonald
C. S. Lewis
John Wyndham
Fritz Leiber
Bob Shaw
Robert Stallman
Roger MacBride Allen
Douglas Adams
Bob Shaw
John Barnes
Allen Steele
John Varley
Nevil Shute
Piers Anthony
Thomas M. Disch
Tim Powers
Dave Wolverton
David Weber
Nevil Shute
Nevil Shute
Nevil Shute
Nevil Shute
Nevil Shute
Kate Wilhelm
Piers Anthony
Robert A. Heinlein
Samuel R. Delany
William S. Burroughs
Elizabeth Ann Scarborough
C. M. Kornbluth
Elizabeth A. Lynn
Cordwainer Smith
Julian May
Michael Bishop
Roger Zelazny
Charles Sheffield
Angela Carter
Kara Dalkey
Roger Zelazny
James P. Blaylock
Michael Shea
Michael Shea
Esther Friesner
Robert Silverberg
Stanley G. Weinbaum
Samuel R. Delany
Samuel R. Delany
Michael Ende
Kirk Mitchell
William Gibson
Charles L. Grant
Anne McCaffrey
Marc Laidlaw
Hal Clement
Hal Clement
Stephen King
Basil Copper
Suzette Haden Elgin
Ramsey Campbell
Isaac Asimov
Robert Holdstock
Peter Straub
Robert Charles Wilson
Charles de Lint
Peter Straub
Dean Koontz
Terry Pratchett
Greg Bear
John Barnes
Terry Pratchett
Terry Pratchett
Anne McCaffrey
Theodore Sturgeon
David Gerrold
Charles de Lint
Robert A. Heinlein
"John W. Campbell, Jr."
Donald Kingsbury
William Gibson
Keith Roberts
Keith Roberts
Douglas Bell
Walter Tevis
Marion Zimmer Bradley
Hal Clement
Katherine MacLean
Stephen King
Stephen R. Donaldson
Edgar Pangborn
Lois McMaster Bujold
Poul Anderson
Frederik Pohl
Robert R. McCammon
Pat Cadigan
Spider Robinson
Joe Haldeman
Octavia E. Butler
John Barnes
John Barnes
John Varley
Ben Bova
John W. Campbell
Poul Anderson
Dean R. Koontz
Algis Budrys
Robert A. Heinlein
Gore Vidal
Gore Vidal
Gore Vidal
Robert Holdstock
H. Warner Munn
C. J. Cherryh
Kim Stanley Robinson
Orson Scott Card
Charles de Lint
Mike McQuay
H. F. Saint
John Brunner
"Kevin O'Donnell, Jr."
"Kevin O'Donnell, Jr."
"Kevin O'Donnell, Jr."
"Kevin O'Donnell, Jr."
"Kevin O'Donnell, Jr."
"Kevin O'Donnell, Jr."
"Kevin O'Donnell, Jr."
"Kevin O'Donnell, Jr."
"Kevin O'Donnell, Jr."
David Gerrold
Lyndon Hardy
Robert Silverberg
Lisa Goldstein
Valerie Martin
Fredric Brown
Fredric Brown
Fredric Brown
Fredric Brown
Philip K. Dick
Ian Watson
Ben Bova
Vernor Vinge
Sheri S. Tepper
Sheri S. Tepper
Sheri S. Tepper
Kate Wilhelm
Julian May
Lisa W. Cantrell
Philip K. Dick
Philip K. Dick
Philip K. Dick
Jack Dann
David Gerrold
Stephen R. Donaldson
Frederik Pohl
Robert Merle
Philip José Farmer
Harry Harrison
Richard Adams
Richard Adams
Barbara Hambly
C. S. Lewis
David Eddings
James P. Blaylock
Philip José Farmer
Terry Brooks
Roger Zelazny
Piers Anthony
Thomas M. Disch
Jack Vance
Jack Vance
Jack Vance
Tanith Lee
Richard A. Lupoff
John Crowley
Arthur Conan Doyle
Poppy Z. Brite
Lisa Tuttle
Orson Scott Card
J. R. R. Tolkien
J. R. R. Tolkien
J. R. R. Tolkien
Roger Zelazny
Robert Jordan
Robert Silverberg
James P. Blaylock
Leigh Brackett
Daniel Keys Moran
Daniel Keys Moran
Daniel Keys Moran
