source_table,source_column,target_table,target_column
ContinentCountryofNationality_affirmative_asylum.csv,title,CountryDependency_population_by_country_2020.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,country_world-cities.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,Country_Word_University_Rank_2020.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,country_edu.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,country_movie_metadata.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,Country_World_countries_env_vars.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,country_USA_cars_datasets.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,Country_whr2015.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,country_who_suicide_statistics.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,country_full_fifa_ranking.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,country_UKDebate.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,CountryName_countries_data.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,LocalName_world_country.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,official_name_fr_countries_and_continents.csv,title
ContinentCountryofNationality_affirmative_asylum.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
name_countries_and_continents.csv,title,Name_world_country.csv,title
name_countries_and_continents.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
name_countries_and_continents.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
name_countries_and_continents.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
name_countries_and_continents.csv,title,CountryName_countries_metadatacountries.csv,title
name_countries_and_continents.csv,title,country_movies.csv,title
name_countries_and_continents.csv,title,Country_countries_of_the_world.csv,title
name_countries_and_continents.csv,title,country_cwurData.csv,title
name_countries_and_continents.csv,title,country_netflix_titles.csv,title
name_countries_and_continents.csv,title,Country_gender_development.csv,title
name_countries_and_continents.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
name_countries_and_continents.csv,title,countries_hfi_cc_2018.csv,title
name_countries_and_continents.csv,title,CountryDependency_population_by_country_2020.csv,title
name_countries_and_continents.csv,title,country_world-cities.csv,title
name_countries_and_continents.csv,title,Country_Word_University_Rank_2020.csv,title
name_countries_and_continents.csv,title,country_edu.csv,title
name_countries_and_continents.csv,title,country_movie_metadata.csv,title
name_countries_and_continents.csv,title,Country_World_countries_env_vars.csv,title
name_countries_and_continents.csv,title,country_USA_cars_datasets.csv,title
name_countries_and_continents.csv,title,Country_whr2015.csv,title
name_countries_and_continents.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
name_countries_and_continents.csv,title,country_who_suicide_statistics.csv,title
name_countries_and_continents.csv,title,country_full_fifa_ranking.csv,title
name_countries_and_continents.csv,title,country_UKDebate.csv,title
name_countries_and_continents.csv,title,CountryName_countries_data.csv,title
name_countries_and_continents.csv,title,LocalName_world_country.csv,title
name_countries_and_continents.csv,title,name_countries_and_continents.csv,title
official_name_en_countries_and_continents.csv,title,Name_world_country.csv,title
official_name_en_countries_and_continents.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
official_name_en_countries_and_continents.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
official_name_en_countries_and_continents.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
official_name_en_countries_and_continents.csv,title,CountryName_countries_metadatacountries.csv,title
official_name_en_countries_and_continents.csv,title,country_movies.csv,title
official_name_en_countries_and_continents.csv,title,Country_countries_of_the_world.csv,title
official_name_en_countries_and_continents.csv,title,country_cwurData.csv,title
official_name_en_countries_and_continents.csv,title,country_netflix_titles.csv,title
official_name_en_countries_and_continents.csv,title,Country_gender_development.csv,title
official_name_en_countries_and_continents.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
official_name_en_countries_and_continents.csv,title,countries_hfi_cc_2018.csv,title
official_name_en_countries_and_continents.csv,title,CountryDependency_population_by_country_2020.csv,title
official_name_en_countries_and_continents.csv,title,country_world-cities.csv,title
official_name_en_countries_and_continents.csv,title,Country_Word_University_Rank_2020.csv,title
official_name_en_countries_and_continents.csv,title,country_edu.csv,title
official_name_en_countries_and_continents.csv,title,country_movie_metadata.csv,title
official_name_en_countries_and_continents.csv,title,Country_World_countries_env_vars.csv,title
official_name_en_countries_and_continents.csv,title,country_USA_cars_datasets.csv,title
official_name_en_countries_and_continents.csv,title,Country_whr2015.csv,title
official_name_en_countries_and_continents.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
official_name_en_countries_and_continents.csv,title,country_who_suicide_statistics.csv,title
official_name_en_countries_and_continents.csv,title,country_full_fifa_ranking.csv,title
official_name_en_countries_and_continents.csv,title,country_UKDebate.csv,title
official_name_en_countries_and_continents.csv,title,CountryName_countries_data.csv,title
official_name_en_countries_and_continents.csv,title,LocalName_world_country.csv,title
official_name_en_countries_and_continents.csv,title,official_name_en_countries_and_continents.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,Name_world_country.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,CountryName_countries_metadatacountries.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,country_movies.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,Country_countries_of_the_world.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,country_cwurData.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,country_netflix_titles.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,Country_gender_development.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,countries_hfi_cc_2018.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,CountryDependency_population_by_country_2020.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,country_world-cities.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,Country_Word_University_Rank_2020.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,country_edu.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,country_movie_metadata.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,Country_World_countries_env_vars.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,country_USA_cars_datasets.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,Country_whr2015.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,country_who_suicide_statistics.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,country_full_fifa_ranking.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,country_UKDebate.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,CountryName_countries_data.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,LocalName_world_country.csv,title
ISO4217-currency_country_name_countries_and_continents.csv,title,ISO4217-currency_country_name_countries_and_continents.csv,title
official_name_fr_countries_and_continents.csv,title,Name_world_country.csv,title
official_name_fr_countries_and_continents.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
official_name_fr_countries_and_continents.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
official_name_fr_countries_and_continents.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
official_name_fr_countries_and_continents.csv,title,CountryName_countries_metadatacountries.csv,title
official_name_fr_countries_and_continents.csv,title,country_movies.csv,title
official_name_fr_countries_and_continents.csv,title,Country_countries_of_the_world.csv,title
official_name_fr_countries_and_continents.csv,title,country_cwurData.csv,title
official_name_fr_countries_and_continents.csv,title,country_netflix_titles.csv,title
official_name_fr_countries_and_continents.csv,title,Country_gender_development.csv,title
official_name_fr_countries_and_continents.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
official_name_fr_countries_and_continents.csv,title,countries_hfi_cc_2018.csv,title
official_name_fr_countries_and_continents.csv,title,CountryDependency_population_by_country_2020.csv,title
official_name_fr_countries_and_continents.csv,title,country_world-cities.csv,title
official_name_fr_countries_and_continents.csv,title,Country_Word_University_Rank_2020.csv,title
official_name_fr_countries_and_continents.csv,title,country_edu.csv,title
official_name_fr_countries_and_continents.csv,title,country_movie_metadata.csv,title
official_name_fr_countries_and_continents.csv,title,Country_World_countries_env_vars.csv,title
official_name_fr_countries_and_continents.csv,title,country_USA_cars_datasets.csv,title
official_name_fr_countries_and_continents.csv,title,Country_whr2015.csv,title
official_name_fr_countries_and_continents.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
official_name_fr_countries_and_continents.csv,title,country_who_suicide_statistics.csv,title
official_name_fr_countries_and_continents.csv,title,country_full_fifa_ranking.csv,title
official_name_fr_countries_and_continents.csv,title,country_UKDebate.csv,title
official_name_fr_countries_and_continents.csv,title,CountryName_countries_data.csv,title
official_name_fr_countries_and_continents.csv,title,LocalName_world_country.csv,title
official_name_fr_countries_and_continents.csv,title,official_name_fr_countries_and_continents.csv,title
CountryName_countries_data.csv,title,Name_world_country.csv,title
CountryName_countries_data.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
CountryName_countries_data.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
CountryName_countries_data.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
CountryName_countries_data.csv,title,CountryName_countries_metadatacountries.csv,title
CountryName_countries_data.csv,title,country_movies.csv,title
CountryName_countries_data.csv,title,Country_countries_of_the_world.csv,title
CountryName_countries_data.csv,title,country_cwurData.csv,title
CountryName_countries_data.csv,title,name_countries_and_continents.csv,title
CountryName_countries_data.csv,title,official_name_en_countries_and_continents.csv,title
CountryName_countries_data.csv,title,ISO4217-currency_country_name_countries_and_continents.csv,title
CountryName_countries_data.csv,title,country_netflix_titles.csv,title
CountryName_countries_data.csv,title,Country_gender_development.csv,title
CountryName_countries_data.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
CountryName_countries_data.csv,title,countries_hfi_cc_2018.csv,title
CountryName_countries_data.csv,title,CountryDependency_population_by_country_2020.csv,title
CountryName_countries_data.csv,title,country_world-cities.csv,title
CountryName_countries_data.csv,title,Country_Word_University_Rank_2020.csv,title
CountryName_countries_data.csv,title,country_edu.csv,title
CountryName_countries_data.csv,title,country_movie_metadata.csv,title
CountryName_countries_data.csv,title,Country_World_countries_env_vars.csv,title
CountryName_countries_data.csv,title,country_USA_cars_datasets.csv,title
CountryName_countries_data.csv,title,Country_whr2015.csv,title
CountryName_countries_data.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
CountryName_countries_data.csv,title,country_who_suicide_statistics.csv,title
CountryName_countries_data.csv,title,country_full_fifa_ranking.csv,title
CountryName_countries_data.csv,title,country_UKDebate.csv,title
CountryName_countries_data.csv,title,LocalName_world_country.csv,title
CountryName_countries_data.csv,title,official_name_fr_countries_and_continents.csv,title
CountryName_countries_data.csv,title,CountryName_countries_data.csv,title
CountryName_countries_metadatacountries.csv,title,Name_world_country.csv,title
CountryName_countries_metadatacountries.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
CountryName_countries_metadatacountries.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
CountryName_countries_metadatacountries.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
CountryName_countries_metadatacountries.csv,title,country_movies.csv,title
CountryName_countries_metadatacountries.csv,title,Country_countries_of_the_world.csv,title
CountryName_countries_metadatacountries.csv,title,country_cwurData.csv,title
CountryName_countries_metadatacountries.csv,title,name_countries_and_continents.csv,title
CountryName_countries_metadatacountries.csv,title,official_name_en_countries_and_continents.csv,title
CountryName_countries_metadatacountries.csv,title,ISO4217-currency_country_name_countries_and_continents.csv,title
CountryName_countries_metadatacountries.csv,title,country_netflix_titles.csv,title
CountryName_countries_metadatacountries.csv,title,Country_gender_development.csv,title
CountryName_countries_metadatacountries.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
CountryName_countries_metadatacountries.csv,title,countries_hfi_cc_2018.csv,title
CountryName_countries_metadatacountries.csv,title,CountryDependency_population_by_country_2020.csv,title
CountryName_countries_metadatacountries.csv,title,country_world-cities.csv,title
CountryName_countries_metadatacountries.csv,title,Country_Word_University_Rank_2020.csv,title
CountryName_countries_metadatacountries.csv,title,country_edu.csv,title
CountryName_countries_metadatacountries.csv,title,country_movie_metadata.csv,title
CountryName_countries_metadatacountries.csv,title,Country_World_countries_env_vars.csv,title
CountryName_countries_metadatacountries.csv,title,country_USA_cars_datasets.csv,title
CountryName_countries_metadatacountries.csv,title,Country_whr2015.csv,title
CountryName_countries_metadatacountries.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
CountryName_countries_metadatacountries.csv,title,country_who_suicide_statistics.csv,title
CountryName_countries_metadatacountries.csv,title,country_full_fifa_ranking.csv,title
CountryName_countries_metadatacountries.csv,title,country_UKDebate.csv,title
CountryName_countries_metadatacountries.csv,title,CountryName_countries_data.csv,title
CountryName_countries_metadatacountries.csv,title,LocalName_world_country.csv,title
CountryName_countries_metadatacountries.csv,title,official_name_fr_countries_and_continents.csv,title
CountryName_countries_metadatacountries.csv,title,CountryName_countries_metadatacountries.csv,title
Country_countries_of_the_world.csv,title,Name_world_country.csv,title
Country_countries_of_the_world.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
Country_countries_of_the_world.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
Country_countries_of_the_world.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
Country_countries_of_the_world.csv,title,CountryName_countries_metadatacountries.csv,title
Country_countries_of_the_world.csv,title,country_movies.csv,title
Country_countries_of_the_world.csv,title,country_cwurData.csv,title
Country_countries_of_the_world.csv,title,name_countries_and_continents.csv,title
Country_countries_of_the_world.csv,title,official_name_en_countries_and_continents.csv,title
Country_countries_of_the_world.csv,title,ISO4217-currency_country_name_countries_and_continents.csv,title
Country_countries_of_the_world.csv,title,country_netflix_titles.csv,title
Country_countries_of_the_world.csv,title,Country_gender_development.csv,title
Country_countries_of_the_world.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
Country_countries_of_the_world.csv,title,countries_hfi_cc_2018.csv,title
Country_countries_of_the_world.csv,title,CountryDependency_population_by_country_2020.csv,title
Country_countries_of_the_world.csv,title,country_world-cities.csv,title
Country_countries_of_the_world.csv,title,Country_Word_University_Rank_2020.csv,title
Country_countries_of_the_world.csv,title,country_edu.csv,title
Country_countries_of_the_world.csv,title,country_movie_metadata.csv,title
Country_countries_of_the_world.csv,title,Country_World_countries_env_vars.csv,title
Country_countries_of_the_world.csv,title,country_USA_cars_datasets.csv,title
Country_countries_of_the_world.csv,title,Country_whr2015.csv,title
Country_countries_of_the_world.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
Country_countries_of_the_world.csv,title,country_who_suicide_statistics.csv,title
Country_countries_of_the_world.csv,title,country_full_fifa_ranking.csv,title
Country_countries_of_the_world.csv,title,country_UKDebate.csv,title
Country_countries_of_the_world.csv,title,CountryName_countries_data.csv,title
Country_countries_of_the_world.csv,title,LocalName_world_country.csv,title
Country_countries_of_the_world.csv,title,official_name_fr_countries_and_continents.csv,title
Country_countries_of_the_world.csv,title,Country_countries_of_the_world.csv,title
country_cwurData.csv,title,Name_world_country.csv,title
country_cwurData.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
country_cwurData.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
country_cwurData.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
country_cwurData.csv,title,CountryName_countries_metadatacountries.csv,title
country_cwurData.csv,title,country_movies.csv,title
country_cwurData.csv,title,Country_countries_of_the_world.csv,title
country_cwurData.csv,title,name_countries_and_continents.csv,title
country_cwurData.csv,title,official_name_en_countries_and_continents.csv,title
country_cwurData.csv,title,ISO4217-currency_country_name_countries_and_continents.csv,title
country_cwurData.csv,title,country_netflix_titles.csv,title
country_cwurData.csv,title,Country_gender_development.csv,title
country_cwurData.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
country_cwurData.csv,title,countries_hfi_cc_2018.csv,title
country_cwurData.csv,title,CountryDependency_population_by_country_2020.csv,title
country_cwurData.csv,title,country_world-cities.csv,title
country_cwurData.csv,title,Country_Word_University_Rank_2020.csv,title
country_cwurData.csv,title,country_edu.csv,title
country_cwurData.csv,title,country_movie_metadata.csv,title
country_cwurData.csv,title,Country_World_countries_env_vars.csv,title
country_cwurData.csv,title,country_USA_cars_datasets.csv,title
country_cwurData.csv,title,Country_whr2015.csv,title
country_cwurData.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
country_cwurData.csv,title,country_who_suicide_statistics.csv,title
country_cwurData.csv,title,country_full_fifa_ranking.csv,title
country_cwurData.csv,title,country_UKDebate.csv,title
country_cwurData.csv,title,CountryName_countries_data.csv,title
country_cwurData.csv,title,LocalName_world_country.csv,title
country_cwurData.csv,title,official_name_fr_countries_and_continents.csv,title
country_cwurData.csv,title,country_cwurData.csv,title
country_edu.csv,title,Name_world_country.csv,title
country_edu.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
country_edu.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
country_edu.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
country_edu.csv,title,CountryName_countries_metadatacountries.csv,title
country_edu.csv,title,country_movies.csv,title
country_edu.csv,title,Country_countries_of_the_world.csv,title
country_edu.csv,title,country_cwurData.csv,title
country_edu.csv,title,name_countries_and_continents.csv,title
country_edu.csv,title,official_name_en_countries_and_continents.csv,title
country_edu.csv,title,ISO4217-currency_country_name_countries_and_continents.csv,title
country_edu.csv,title,country_netflix_titles.csv,title
country_edu.csv,title,Country_gender_development.csv,title
country_edu.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
country_edu.csv,title,countries_hfi_cc_2018.csv,title
country_edu.csv,title,CountryDependency_population_by_country_2020.csv,title
country_edu.csv,title,country_world-cities.csv,title
country_edu.csv,title,Country_Word_University_Rank_2020.csv,title
country_edu.csv,title,country_movie_metadata.csv,title
country_edu.csv,title,Country_World_countries_env_vars.csv,title
country_edu.csv,title,country_USA_cars_datasets.csv,title
country_edu.csv,title,Country_whr2015.csv,title
country_edu.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
country_edu.csv,title,country_who_suicide_statistics.csv,title
country_edu.csv,title,country_full_fifa_ranking.csv,title
country_edu.csv,title,country_UKDebate.csv,title
country_edu.csv,title,CountryName_countries_data.csv,title
country_edu.csv,title,LocalName_world_country.csv,title
country_edu.csv,title,official_name_fr_countries_and_continents.csv,title
country_edu.csv,title,country_edu.csv,title
country_full_fifa_ranking.csv,title,Name_world_country.csv,title
country_full_fifa_ranking.csv,title,English_short_name_lower_case_wikipedia-iso-country-codes.csv,title
country_full_fifa_ranking.csv,title,Name_AdventureWorks2014_salesTerritory.csv,title
country_full_fifa_ranking.csv,title,Name_AdventureWorks2014_CountryRegion.csv,title
country_full_fifa_ranking.csv,title,CountryName_countries_metadatacountries.csv,title
country_full_fifa_ranking.csv,title,country_movies.csv,title
country_full_fifa_ranking.csv,title,Country_countries_of_the_world.csv,title
country_full_fifa_ranking.csv,title,country_cwurData.csv,title
country_full_fifa_ranking.csv,title,name_countries_and_continents.csv,title
country_full_fifa_ranking.csv,title,official_name_en_countries_and_continents.csv,title
country_full_fifa_ranking.csv,title,ISO4217-currency_country_name_countries_and_continents.csv,title
country_full_fifa_ranking.csv,title,country_netflix_titles.csv,title
country_full_fifa_ranking.csv,title,Country_gender_development.csv,title
country_full_fifa_ranking.csv,title,ContinentCountryofNationality_affirmative_asylum.csv,title
country_full_fifa_ranking.csv,title,countries_hfi_cc_2018.csv,title
country_full_fifa_ranking.csv,title,CountryDependency_population_by_country_2020.csv,title
country_full_fifa_ranking.csv,title,country_world-cities.csv,title
country_full_fifa_ranking.csv,title,Country_Word_University_Rank_2020.csv,title
country_full_fifa_ranking.csv,title,country_edu.csv,title
country_full_fifa_ranking.csv,title,country_movie_metadata.csv,title
country_full_fifa_ranking.csv,title,Country_World_countries_env_vars.csv,title
country_full_fifa_ranking.csv,title,country_USA_cars_datasets.csv,title
country_full_fifa_ranking.csv,title,Country_whr2015.csv,title
country_full_fifa_ranking.csv,title,Country_MoviesOnStreamingPlatforms_updated.csv,title
country_full_fifa_ranking.csv,title,country_who_suicide_statistics.csv,title
country_full_fifa_ranking.csv,title,country_UKDebate.csv,title
country_full_fifa_ranking.csv,title,CountryName_countries_data.csv,title
country_full_fifa_ranking.csv,title,LocalName_world_country.csv,title
country_full_fifa_ranking.csv,title,official_name_fr_countries_and_continents.csv,title
country_full_fifa_ranking.csv,title,country_full_fifa_ranking.csv,title
Country_gender_development.csv,title,Name_world_country.csv,title
