target_ds,target_attr
AJ-new-york-govs-1_source_Political_Party,Political Party
AJ-new-york-govs-2_source_Governor,Governor
AJ-new-york-govs-2_source_Term_of_office,Term of office
AJ-new-york-govs-2_source_Party,Party
AJ-new-york-govs-3_source_Governor_s_Name,Governor's Name
AJ-new-york-govs-3_source_State,State
AJ-new-york-govs-3_source_Time_in_Office,Time in Office
AJ-new-york-govs-3_source_Party,Party
AJ-new-york-govs-4_source_Governor,Governor
AJ-new-york-govs-4_source_Home_Town__According_to_the_official_N_Y__State_Governor_s_website_,Home Town (According to the official N.Y. State Governor's website)
AJ-new-york-govs-4_source_Term,Term
AJ-new-york-govs-4_source_Party,Party
AJ-new-york-govs-5_source_Governor,Governor
AJ-new-york-govs-5_source_Term_of_office,Term of office
AJ-park-to-state-1_source_Name,Name
AJ-park-to-state-1_source_Location,Location
AJ-park-to-state-1_source_Area,Area
AJ-park-to-state-1_source_Recreation_Visitors__2014_,Recreation Visitors (2014)
AJ-park-to-state-1_source_Description,Description
AJ-park-to-state-2_source_State,State
AJ-park-to-state-2_source_National_Park,National Park
AJ-park-to-state-2_source_Year_Established,Year Established
AJ-sharif-email-to-url_source_Email,Email
AJ-sharif-username-to-email_source_Username,Username
AJ-texas-govs-1_source__,#
AJ-texas-govs-1_source_Governor,Governor
AJ-texas-govs-1_source_Party,Party
AJ-texas-govs-2_source_Governor,Governor
AJ-texas-govs-2_source_Party,Party
AJ-texas-govs-2_source_Years_in_Office,Years in Office
AJ-texas-govs-2_source_Legislatures_as_Governor_,Legislatures as Governor*
AJ-uk-prime-ministers_source_term,term
AJ-uk-prime-ministers_source_name,name
AJ-uk-prime-ministers_source_political_party,political party
AJ-us-cities_source_United_States_Cities,United States Cities
AJ-us-presidents-1_source__,№
AJ-us-presidents-1_source_President,President
AJ-us-presidents-1_source_State,State
AJ-us-presidents-1_source_Term_of_office,Term of office
AJ-us-presidents-1_source_Party,Party
AJ-us-presidents-1_source_Term_,Term;
AJ-us-presidents-1_source_Previous_office,Previous office
AJ-us-presidents-2_source__,№
AJ-us-presidents-2_source_President,President
AJ-us-presidents-2_source_State,State
AJ-us-presidents-2_source_Term_of_office,Term of office
AJ-us-presidents-2_source_Party,Party
AJ-us-presidents-2_source_Previous_office,Previous office
AJ-us-presidents-3_source_State,State
AJ-us-presidents-3_source_Presidents_per_state,Presidents per state
AJ-us-presidents-3_source_Presidents,Presidents
AJ-us-presidents-3_source__th_President,#th President
AJ-us-presidents-4_source__,№
AJ-us-presidents-4_source_President,President
AJ-us-presidents-4_source_State,State
AJ-us-presidents-4_source_Term_of_office,Term of office
AJ-us-presidents-4_source_Party,Party
AJ-us-presidents-4_source_Term_,Term;
AJ-us-presidents-4_source_Previous_office,Previous office
AJ-us-presidents-4_source_Vice_President,Vice President
AJ-us-presidents-4_source_Vice_President,Vice President
AJ-us-presidents-5_source_OB,OB
AJ-us-presidents-5_source_Name,Name
AJ-us-presidents-5_source_Birth_Name,Birth Name
AJ-us-presidents-5_source_OP,OP
AJ-us-presidents-5_source_Birthplace,Birthplace
AJ-us-presidents-5_source_State_of_Birth,State of Birth
AJ-us-presidents-5_source_AP,AP
AJ-us-presidents-6_source_OB,OB
AJ-us-presidents-6_source_Name,Name
AJ-us-presidents-6_source_Birth_Name,Birth Name
AJ-us-presidents-6_source_OP,OP
AJ-us-presidents-6_source_Birthplace,Birthplace
AJ-us-presidents-6_source_State_of_Birth,State of Birth
AJ-us-presidents-6_source_AP,AP
AJ-vegetables_source_Vegetable,Vegetable
AJ-vegetables_source_Type,Type
names200_source_fullname,fullname
